"id","question_text","company","date","interview_id"
"q1","Почему не использовать VPS вместо VDS для сервера?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q2","На каком протоколе работает VPN (WireGuard, OpenVPN, VLESS и т.д.)?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q3","Почему на версии для ПК кнопка input растянута на весь экран и используются разные стили input'ов, а также почему присутствуют излишние скроллы по горизонтали и вертикали?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q4","Почему на странице с модалкой отсутствует адаптивность, и почему для её обновления нужно перезагружать сайт?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q5","Почему UI модалки сверстан на mefedron.js?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q6","Какие форматы медиафайлов (PNG, JPEG, GIF и др.) поддерживаются для прикрепления в input, и что произойдет при загрузке файлов формата .txt или Word?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q7","Существуют ли ограничения по весу загружаемых картинок?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q8","Как устроен процесс отправки формы: каким образом проходит запрос при submit?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q9","Как построена система POST-запросов вокруг формы? Опишите структуру запроса, заголовки, тело и способ подписания изображений.","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q10","За какой промежуток времени была сверстана представленная на экране модалка?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q11","Почему при разработке сразу не учли адаптивность и как планируется её реализовать?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q12","Можно ли добавить кнопку или другой элемент для сброса выбранных тегов в dropdown-меню при создании формы?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q13","Можно ли использовать нейросети при решении задач на собеседовании?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q14","Почему в проекте используется UI-кит, а не собственная разработка компонентов?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q15","Почему весь код модалки написан в одном .tsx файле, а не разбит на отдельные компоненты?","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q16","Реализовать функцию handleSelectTheme с типом параметра ChangeEvent<HTMLSelectElement> для упрощения обработки выбора темы.","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q17","Вынести константу modules за пределы React-компонента для оптимизации.","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q18","Оптимизировать преобразование selectedThemes.split(',').map(Number) заменив map(Number) на более простое решение и убрать явную типизацию Item как String, полагаясь на TypeScript.","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q19","Оптимизировать фильтрацию тем, используя Set для проверки наличия id вместо includes, чтобы снизить сложность с O(n) до O(1).","Ооо Ртк","2025-02-14","interview_Ооо_Ртк_000"
"q1","Какие UI-киты использовал?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q2","Работал с сокетами? Что использовал для работы с ними?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q3","Как оптимизировали проект? Использовали ли Sentry, LightHouse, WebPageTest и прочие инструменты?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q4","Использовал ли сборщики? Настраивал ли их?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q5","Что такое FSD?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q6","Работал с Docker?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q7","Что такое CodeSpaces (от GitHub)?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q8","Знаешь, что такое SWR?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q9","По какому протоколу взаимодействовал с бэком? (REST)","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q10","Вопросы по TCP и WebSocket","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q11","Как относишься к CSS Nesting?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q12","Какие сейчас стоят задачи на проекте?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q13","Что используете для создания форм?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q14","Попросить открыть package.json и посмотреть используемые библиотеки","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q15","Есть ли мониторинг нагрузки?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q16","Что планируете выбрать для мониторинга нагрузки?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q17","Когда релизы? Когда демо?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q18","Какой размер команды, которую планируется набрать? Из кого она состоит?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q19","Используется NextJS, насколько мощные сервера для SSR? Кто выбирал эти сервера?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
"q20","Как проходит обсуждение API фронта и бэка?","Ооо Ртк","2025-02-07","interview_Ооо_Ртк_001"
