"id","question_text","company","date","interview_id"
"q1","Отличие div и span","Контур","2024-04-04","interview_Контур_000"
"q2","Отличие margin и padding","Контур","2024-04-04","interview_Контур_000"
"q3","Существуют ли отрицательные паддинги?","Контур","2024-04-04","interview_Контур_000"
"q4","Работал ли с семантической версткой?","Контур","2024-04-04","interview_Контур_000"
"q5","Знаком ли с адаптивной версткой?","Контур","2024-04-04","interview_Контур_000"
"q6","Накидай вариантов, как можно сверстать японский флаг","Контур","2024-04-04","interview_Контур_000"
"q7","Накидать варианты создания круга, можно даже самые безумные","Контур","2024-04-04","interview_Контур_000"
"q8","Что будет выведено в консоль при выполнении кода с массивом values = [1, 2, 5, 10], где result увеличивается на количество элементов больше 5 и суммируются элементы с индексами от 2 до 2 включительно","Контур","2024-04-04","interview_Контур_000"
"q9","Что будет выведено в консоль при выполнении функции sayWelcome, которая выводит 'Welcome to' + currentCity, если внутри setTimeout объявлена локальная переменная currentCity = 'Москва' и вызывается sayWelcome","Контур","2024-04-04","interview_Контур_000"
"q10","Что будет выведено в консоль при добавлении обработчика клика, который увеличивает clickCount и выводит его, при этом в цикле while идет ожидание пока clickCount не станет равен 5","Контур","2024-04-04","interview_Контур_000"
"q11","Что будет выведено в консоль при фильтрации массива whatIsTruthy = [1, 'dfd', '0', {}, '', function() {}, NaN, true, false, 0, [], Infinity, null, undefined] по истинности элементов и подсчете длины результата","Контур","2024-04-04","interview_Контур_000"
"q12","Что будет выведено в консоль при попытке изменить значение переменной a, объявленной через let, и переменной b, объявленной через const","Контур","2024-04-04","interview_Контур_000"
"q13","Что будет выведено в консоль при вызове функции doAsync с аргументом false, которая возвращает промис, резолвящий 2 при true и реджектящий 1 при false, и последующем присваивании результата переменной a","Контур","2024-04-04","interview_Контур_000"
"q14","Что будет выведено в консоль при вызове функции showFullName с параметрами firstName, lastName и rest, которая выводит строку с именем, фамилией и дополнительными аргументами через дефис","Контур","2024-04-04","interview_Контур_000"
