"id","question_text","company","date","interview_id"
"q1","Расскажи о себе и о своем опыте.","Лемма","2024-09-29","interview_Лемма_000"
"q2","Что такое npm? Какие аналоги знаешь?","Лемма","2024-09-29","interview_Лемма_000"
"q3","В чем отличие npm ci и npm i?","Лемма","2024-09-29","interview_Лемма_000"
"q4","Для чего нужен Webpack? Какие аналоги знаешь?","Лемма","2024-09-29","interview_Лемма_000"
"q5","Какая у вас архитектура общения с бэкендом на проекте?","Лемма","2024-09-29","interview_Лемма_000"
"q6","Как у вас на проекте была реализована авторизация?","Лемма","2024-09-29","interview_Лемма_000"
"q7","Что такое куки?","Лемма","2024-09-29","interview_Лемма_000"
"q8","Что такое JWT?","Лемма","2024-09-29","interview_Лемма_000"
"q9","Для чего нужен React?","Лемма","2024-09-29","interview_Лемма_000"
"q10","Что такое Virtual DOM?","Лемма","2024-09-29","interview_Лемма_000"
"q11","Зачем нужны state-менеджеры?","Лемма","2024-09-29","interview_Лемма_000"
"q12","Расскажи про Redux.","Лемма","2024-09-29","interview_Лемма_000"
"q13","Основные сущности Redux.","Лемма","2024-09-29","interview_Лемма_000"
"q14","В чем разница между классовыми и функциональными компонентами?","Лемма","2024-09-29","interview_Лемма_000"
"q15","Как работает useEffect?","Лемма","2024-09-29","interview_Лемма_000"
"q16","В чем плюсы иммутабельности Redux?","Лемма","2024-09-29","interview_Лемма_000"
"q17","Какой паттерн реализует Redux?","Лемма","2024-09-29","interview_Лемма_000"
"q18","Реализуйте функцию, которая из массива ['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J'] возвращает новый массив, содержащий элементы с нечетными индексами, например ['B', 'D', 'F', 'H', 'J'].","Лемма","2024-09-29","interview_Лемма_000"
"q1","Дано положительное число millis, напишите асинхронную функцию sleep, которая засыпает на millis миллисекунд и возвращает количество миллисекунд, на которое заснула","Лемма","2024-03-27","interview_Лемма_001"
"q2","Удалить из массива все чётные элементы по индексу без создания нового массива, мутируя существующий","Лемма","2024-03-27","interview_Лемма_001"
"q3","Дан массив целых чисел nums и целое число target, вернуть индексы двух чисел, сумма которых равна target, при условии, что существует только одна такая пара","Лемма","2024-03-27","interview_Лемма_001"
"q1","event-loop","Лемма","2024-03-27","interview_Лемма_002"
"q2","Что такое замыкания","Лемма","2024-03-27","interview_Лемма_002"
