"id","question_text","company","date","interview_id"
"q1","EventLoop","Девман","2024-11-18","interview_Девман_000"
"q2","Промисы","Девман","2024-11-18","interview_Девман_000"
"q3","React плюсы","Девман","2024-11-18","interview_Девман_000"
"q4","React минусы","Девман","2024-11-18","interview_Девман_000"
"q5","Fiber reconciliation","Девман","2024-11-18","interview_Девман_000"
"q6","Хуки","Девман","2024-11-18","interview_Девман_000"
"q7","useLayoutEffect","Девман","2024-11-18","interview_Девман_000"
"q8","Вебворкеры","Девман","2024-11-18","interview_Девман_000"
"q9","Как работал с графиками","Девман","2024-11-18","interview_Девман_000"
"q10","Effector","Девман","2024-11-18","interview_Девман_000"
"q1","Реализовать функцию для отображения списка с предварительной сортировкой и корректным добавлением постов по ID с учётом последовательного обновления и добавления новых элементов","Девман","2024-11-18","interview_Девман_000"
"q1","Работал ли с графиками","Девман","2024-11-15","interview_Девман_001"
"q2","Как оптимизировал React","Девман","2024-11-15","interview_Девман_001"
"q3","Как работает useEffect","Девман","2024-11-15","interview_Девман_001"
"q4","Расскажите про опыт взаимодействия в команде и решение задач","Девман","2024-11-15","interview_Девман_001"
"q5","Что происходило, когда что-то не получалось за спринт","Девман","2024-11-15","interview_Девман_001"
