"id","question_text","company","date","interview_id"
"q1","Сколько информации может в себе хранить 1 бит","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q2","Сколько информации может хранить 1 байт","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q3","Что такое чистая функция","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q4","Область видимости переменных","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q5","Изменения объектов","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q6","Что не так с выражением if(0.1 + 0.2 === 0.3) и почему так происходит","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q7","Почему нельзя вызывать получение данных синхронно","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q8","Что такое process.nextTick в Node.js","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q9","Порядок вывода тасков в Node.js","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q10","this в JavaScript","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q11","Разница между bind, call и apply в JavaScript","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q12","Что такое WeakMap и WeakSet","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q13","Как работает сборщик мусора","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q14","В чем проблема рекурсии и как можно её побороть","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q15","Что такое хвостовая рекурсия","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q16","Как происходит рендер страницы","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q17","Опишите процесс: набил адрес, нажал enter — что происходит дальше","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q18","Для чего используется requestAnimationFrame","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q19","Смысл React","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q20","Зачем нужен key в React","Tybbo System","2024-11-14","interview_Tybbo_System_000"
"q21","Разница между useEffect и useLayoutEffect в React","Tybbo System","2024-11-14","interview_Tybbo_System_000"
