"id","question_text","company","date","interview_id"
"q1","Про свой опыт","SoftJet","2024-05-24","interview_SoftJet_000"
"q2","Каково отношение TypeScript к JavaScript?","SoftJet","2024-05-24","interview_SoftJet_000"
"q3","Что такое JSX?","SoftJet","2024-05-24","interview_SoftJet_000"
"q4","Как можно компилировать TypeScript в JavaScript?","SoftJet","2024-05-24","interview_SoftJet_000"
"q5","Сколько областей видимости доступно в TypeScript?","SoftJet","2024-05-24","interview_SoftJet_000"
"q6","Как в JavaScript передается параметр в функцию - по ссылке или по значению?","SoftJet","2024-05-24","interview_SoftJet_000"
"q7","Какие есть особенности проверки равенств в JavaScript?","SoftJet","2024-05-24","interview_SoftJet_000"
"q8","В чем различие использования функций-конструкторов от классов? Где появляется разница в использовании?","SoftJet","2024-05-24","interview_SoftJet_000"
"q9","Приведи примеры приведения к логическому типу значений, не относящихся к этому типу, то есть когда значения всегда true, а когда false","SoftJet","2024-05-24","interview_SoftJet_000"
"q10","Знакомо ли понятие 'Временная мертвая зона'?","SoftJet","2024-05-24","interview_SoftJet_000"
"q11","Каким способом можно обеспечить глубокую заморозку объекта? Object.freeze()","SoftJet","2024-05-24","interview_SoftJet_000"
"q12","В чем отличие между const и Object.freeze?","SoftJet","2024-05-24","interview_SoftJet_000"
"q13","Расскажи про концепцию поднятия переменных","SoftJet","2024-05-24","interview_SoftJet_000"
"q14","Для чего используется метод bind?","SoftJet","2024-05-24","interview_SoftJet_000"
"q15","Какие есть отличия методов массивов forEach и map, какой предпочтительнее использовать?","SoftJet","2024-05-24","interview_SoftJet_000"
"q16","Коллекции Map, Set","SoftJet","2024-05-24","interview_SoftJet_000"
"q17","Что такое Hash Map и что такое хэш-функция?","SoftJet","2024-05-24","interview_SoftJet_000"
"q18","Может ли быть ситуация, когда в хэш-мапе будет хранится и ключ, и значение null:null?","SoftJet","2024-05-24","interview_SoftJet_000"
"q19","Какова сложность вычислений у хэш-мапы?","SoftJet","2024-05-24","interview_SoftJet_000"
"q20","Какие основные паттерны проектирования знаешь, с какими работал?","SoftJet","2024-05-24","interview_SoftJet_000"
"q21","Как работает event loop?","SoftJet","2024-05-24","interview_SoftJet_000"
"q22","Писал ли тесты? Как? Использовал ли Selenium?","SoftJet","2024-05-24","interview_SoftJet_000"
"q23","Какой опыт работы с Docker?","SoftJet","2024-05-24","interview_SoftJet_000"
"q24","Умеешь ли настраивать Swagger? Работал ли с Postman?","SoftJet","2024-05-24","interview_SoftJet_000"
"q25","На каком языке пишут тесты?","SoftJet","2024-05-24","interview_SoftJet_000"
"q26","С какими работал фреймворками (React, Vue, Angular), в чем преимущество React?","SoftJet","2024-05-24","interview_SoftJet_000"
"q27","Что нового есть в React 18, по сравнению с 17 и 16 версиями?","SoftJet","2024-05-24","interview_SoftJet_000"
"q28","Для чего нужен AJAX?","SoftJet","2024-05-24","interview_SoftJet_000"
"q29","Работал ли с GraphQL?","SoftJet","2024-05-24","interview_SoftJet_000"
"q30","Что такое Virtual DOM?","SoftJet","2024-05-24","interview_SoftJet_000"
"q31","setState синхронный или асинхронный?","SoftJet","2024-05-24","interview_SoftJet_000"
"q32","В чем отличие memo от useMemo?","SoftJet","2024-05-24","interview_SoftJet_000"
"q33","Что такое чистые компоненты (pure components) и для чего они нужны?","SoftJet","2024-05-24","interview_SoftJet_000"
"q34","Какие знаешь стейт-менеджеры, с какими работал?","SoftJet","2024-05-24","interview_SoftJet_000"
"q35","Каковы особенности использования useContext и useReducer от Редакса?","SoftJet","2024-05-24","interview_SoftJet_000"
"q36","Что такое HOC?","SoftJet","2024-05-24","interview_SoftJet_000"
"q37","Как организуется сетевое взаимодействие? Связь фронта и бека?","SoftJet","2024-05-24","interview_SoftJet_000"
"q38","Знаком ли с технологией WebView?","SoftJet","2024-05-24","interview_SoftJet_000"
"q39","Какой опыт работы с Jira, Trello?","SoftJet","2024-05-24","interview_SoftJet_000"
"q40","Настраивал ли CI/CD?","SoftJet","2024-05-24","interview_SoftJet_000"
"q41","Чем merge отличается от rebase в GIT? Что лучше использовать и почему?","SoftJet","2024-05-24","interview_SoftJet_000"
"q1","Необходимо разработать одностраничный сайт интернет-магазина запчастей автомобилей с использованием API (можно mockapi) для вывода товаров с полями: заголовок, картинка, описание, цена; проект должен содержать header с названием магазина, фото-слайдер, вывод товаров и footer; работа должна быть загружена на GitHub-Pages или Vercel","SoftJet","2024-05-24","interview_SoftJet_000"
