"id","question_text","company","date","interview_id"
"q1","Рассказ про себя и свой опыт, затем несколько вопросов по задачам из резюме","Согаз","2025-07-09","interview_Согаз_000"
"q2","Из чего состоит HTTP и HTTPS, в чем их отличия, какие существуют версии HTTP","Согаз","2025-07-09","interview_Согаз_000"
"q3","Что такое dependencies и devDependencies, для чего они используются","Согаз","2025-07-09","interview_Согаз_000"
"q4","Что такое CORS, что такое preflight запрос, какие заголовки используются в CORS","Согаз","2025-07-09","interview_Согаз_000"
"q5","Объясните разницу между авторизацией и аутентификацией, как работают интерцепторы, в каких случаях возникают ошибки 401 и 403","Согаз","2025-07-09","interview_Согаз_000"
"q6","Откуда приходят cookies, кто их устанавливает, что они хранят (особенно про refresh token), что такое заголовки secure, httpOnly и sameSite","Согаз","2025-07-09","interview_Согаз_000"
"q7","С какими сборщиками вы работали и зачем они нужны, в чем отличие лоадеров и плагинов, сколько лоадеров нужно чтобы подключить scss, что такое билд","Согаз","2025-07-09","interview_Согаз_000"
"q8","Можно ли получить ошибку CORS при использовании Postman","Согаз","2025-07-09","interview_Согаз_000"
"q9","Как бы вы организовали структуру папок одной фичи, следуя принципам FSD","Согаз","2025-07-09","interview_Согаз_000"
"q10","Плюсы и минусы React","Согаз","2025-07-09","interview_Согаз_000"
"q11","Плюсы и минусы TypeScript","Согаз","2025-07-09","interview_Согаз_000"
"q12","В чем отличие type и interface в TypeScript","Согаз","2025-07-09","interview_Согаз_000"
"q13","В чем отличие типов unknown, never и void в TypeScript","Согаз","2025-07-09","interview_Согаз_000"
"q14","Какими utility types в TypeScript вы пользуетесь чаще всего","Согаз","2025-07-09","interview_Согаз_000"
"q15","Что такое declare modules и как типизировать сторонние библиотеки без типов","Согаз","2025-07-09","interview_Согаз_000"
"q16","Объясните паттерн MVC в парадигме Redux подробно","Согаз","2025-07-09","interview_Согаз_000"
"q1","Что такое каскад в css?","Согаз","2025-07-04","interview_Согаз_001"
"q2","Специфичность селектора в css?","Согаз","2025-07-04","interview_Согаз_001"
"q3","Зачем нужен БЭМ?","Согаз","2025-07-04","interview_Согаз_001"
"q4","Как работают корсы?","Согаз","2025-07-04","interview_Согаз_001"
"q5","Заголовки HTTP Запроса?","Согаз","2025-07-04","interview_Согаз_001"
"q6","Как мы должны устанавливать ноду в проекте чтобы именно промежуток нод использовался?","Согаз","2025-07-04","interview_Согаз_001"
"q7","Прототипное наследование в js.","Согаз","2025-07-04","interview_Согаз_001"
"q8","Что является прототипом в функции?","Согаз","2025-07-04","interview_Согаз_001"
"q9","EventLoop?","Согаз","2025-07-04","interview_Согаз_001"
"q1","Почему стал разрабом","Согаз","2025-06-30","interview_Согаз_002"
"q2","Почему именно в страховую компанию","Согаз","2025-06-30","interview_Согаз_002"
"q3","Как ты будешь действовать если прилетела задача которая не нравится","Согаз","2025-06-30","interview_Согаз_002"
"q4","Как будешь действовать если вы с другим разрабом делаете один компонент","Согаз","2025-06-30","interview_Согаз_002"
"q5","Почему ушел с прошлой работы","Согаз","2025-06-30","interview_Согаз_002"
"q6","Что мотивирует","Согаз","2025-06-30","interview_Согаз_002"
"q7","Что нужно чтобы тобой управлять","Согаз","2025-06-30","interview_Согаз_002"
"q8","Как поведешь себя в конфликте","Согаз","2025-06-30","interview_Согаз_002"
"q1","event-loop","Согаз","2025-06-26","interview_Согаз_003"
"q1","С какими сборщиками работал","Согаз","2025-06-18","interview_Согаз_004"
"q2","В чем разница между dev зависимостями и обычными зависимостями","Согаз","2025-06-18","interview_Согаз_004"
"q3","Что такое npm","Согаз","2025-06-18","interview_Согаз_004"
