"id","question_text","company","date","interview_id"
"q1","По резюме от и до, про все места работы","Huntit","2024-12-28","interview_Huntit_000"
"q2","Почему фронт, а не что-то другое","Huntit","2024-12-28","interview_Huntit_000"
"q3","Самая сложная интересная задача","Huntit","2024-12-28","interview_Huntit_000"
"q4","Что такое критический путь рендера","Huntit","2024-12-28","interview_Huntit_000"
"q5","Как браузер понимает, что пришел именно html - Content type: text-html","Huntit","2024-12-28","interview_Huntit_000"
"q6","Какие бывают блокирующие и неблокирующие скрипты","Huntit","2024-12-28","interview_Huntit_000"
"q7","Как оптимизировать фронт при загрузке сайта, если появляется белый экран","Huntit","2024-12-28","interview_Huntit_000"
"q8","Что такое блокирующий css и как его оптимизировать","Huntit","2024-12-28","interview_Huntit_000"
"q9","Какие тесты вы писали и какие знаете","Huntit","2024-12-28","interview_Huntit_000"
"q10","Как грузятся шрифты и иконки","Huntit","2024-12-28","interview_Huntit_000"
"q11","Чуть про SSR","Huntit","2024-12-28","interview_Huntit_000"
"q12","Реализуйте вывод значений переменной i в консоль с задержкой в 1 секунду между выводами, при этом вывод должен отображать значение переменной на каждой итерации","Huntit","2024-12-28","interview_Huntit_000"
"q13","Объясните поведение асинхронной функции asyncFunc, которая вызывает промис mockRequestTimer с setTimeout 0 и использует await","Huntit","2024-12-28","interview_Huntit_000"
