"id","question_text","company","date","interview_id"
"q1","Что такое чистая функция?","Mozen","2024-06-25","interview_Mozen_000"
"q2","Что такое иммутабельность?","Mozen","2024-06-25","interview_Mozen_000"
"q3","Для чего нужны методы массивов и почему нельзя было обойтись просто циклами? Рассказать про map и forEach, разницу между ними.","Mozen","2024-06-25","interview_Mozen_000"
"q4","Рассказать про hoisting.","Mozen","2024-06-25","interview_Mozen_000"
"q5","Рассказать про области видимости (scope).","Mozen","2024-06-25","interview_Mozen_000"
"q6","Рассказать про замыкания.","Mozen","2024-06-25","interview_Mozen_000"
"q7","Рассказать про IntersectionObserver API.","Mozen","2024-06-25","interview_Mozen_000"
"q8","Рассказать про способы копирования объектов.","Mozen","2024-06-25","interview_Mozen_000"
"q9","Рассказать про Промисы и async/await.","Mozen","2024-06-25","interview_Mozen_000"
"q10","Что такое полифиллы?","Mozen","2024-06-25","interview_Mozen_000"
"q11","Рассказать про Virtual DOM.","Mozen","2024-06-25","interview_Mozen_000"
"q12","Что такое reconciliation?","Mozen","2024-06-25","interview_Mozen_000"
"q13","Что такое key в React?","Mozen","2024-06-25","interview_Mozen_000"
"q14","Для чего нужен React?","Mozen","2024-06-25","interview_Mozen_000"
"q15","Вопросы про Webpack.","Mozen","2024-06-25","interview_Mozen_000"
"q16","Для чего нужны Loaders в Webpack?","Mozen","2024-06-25","interview_Mozen_000"
"q17","Что такое Tree Shaking?","Mozen","2024-06-25","interview_Mozen_000"
"q18","В чем разница между Webpack и Vite?","Mozen","2024-06-25","interview_Mozen_000"
"q19","Что такое SPA?","Mozen","2024-06-25","interview_Mozen_000"
"q20","Какие минусы и плюсы у SSR?","Mozen","2024-06-25","interview_Mozen_000"
