"id","question_text","company","date","interview_id"
"q1","requestAnimationFrame что это, зачем и когда выполняется?","Pyrus","2025-07-03","interview_Pyrus_000"
"q2","Почему для анимаций используется requestAnimationFrame а не макротаски?","Pyrus","2025-07-03","interview_Pyrus_000"
"q3","Сложность для Set?","Pyrus","2025-07-03","interview_Pyrus_000"
"q4","Что будет в консоли после выполнения кода с объектом, содержащим методы bar и baz, где baz использует setTimeout с функцией, выводящей this.x?","Pyrus","2025-07-03","interview_Pyrus_000"
"q5","Написать два CSS-правила, которые для заданной разметки обеспечат заданное отображение, где div.foo и #bar имеют жирный шрифт","Pyrus","2025-07-03","interview_Pyrus_000"
"q6","Реализовать функцию findUniq, которая принимает массив строк и возвращает строку, отличающуюся по составу букв от остальных, игнорируя порядок, количество, регистр и пробелы","Pyrus","2025-07-03","interview_Pyrus_000"
"q7","Произвести рефакторинг и исправить ошибки в коде, который навешивает обработчики клика на элементы с id item0-item9, меняя их стиль и показывая alert с номером клика","Pyrus","2025-07-03","interview_Pyrus_000"
"q1","Что такое JWT, зачем он нужен и из чего состоит","Pyrus","2025-05-18","interview_Pyrus_001"
"q2","Как происходит аутентификация с использованием JWT","Pyrus","2025-05-18","interview_Pyrus_001"
"q3","Почему JWT считается безопасным, объясните роль цифровой подписи","Pyrus","2025-05-18","interview_Pyrus_001"
"q4","Где хранится refresh токен и почему именно там","Pyrus","2025-05-18","interview_Pyrus_001"
"q5","Какие методы защиты от кражи JWT существуют (httpOnly, sameSite и другие)","Pyrus","2025-05-18","interview_Pyrus_001"
"q6","Если у пользователя два access токена, может ли быть два refresh токена","Pyrus","2025-05-18","interview_Pyrus_001"
"q7","Объясните, что такое область видимости в JavaScript","Pyrus","2025-05-18","interview_Pyrus_001"
"q8","Что такое лексическое окружение в JavaScript","Pyrus","2025-05-18","interview_Pyrus_001"
"q9","Почему значения в нестрогом режиме JavaScript отличаются от строгого","Pyrus","2025-05-18","interview_Pyrus_001"
"q10","Как еще можно отобразить текст в одну строку кроме display:inline-block","Pyrus","2025-05-18","interview_Pyrus_001"
"q11","В чем отличие HTML-тегов div и span","Pyrus","2025-05-18","interview_Pyrus_001"
"q12","Оцените алгоритмическую сложность блока кода с циклом и проверкой уникальности элементов через indexOf и lastIndexOf","Pyrus","2025-05-18","interview_Pyrus_001"
"q13","Оцените алгоритмическую сложность всей функции, содержащей цикл с проверкой уникальности элементов","Pyrus","2025-05-18","interview_Pyrus_001"
"q14","Объясните, что делает данный незнакомый код и как бы вы его рефакторили","Pyrus","2025-05-18","interview_Pyrus_001"
"q1","Что выведет следующий код с объектом и методами, учитывая контекст вызова и setTimeout?","Pyrus","2025-05-08","interview_Pyrus_002"
"q2","Написать CSS стили для элементов, чтобы первая и третья фразы были жирными, и расположить элементы внутри div.baz в одну строку","Pyrus","2025-05-08","interview_Pyrus_002"
"q3","Дан массив строк (не меньше 3 элементов), в котором одна из строк отличается по составу входящих в нее букв без учета порядка, количества, регистра и пробелов; вернуть отличающуюся по составу строку","Pyrus","2025-05-08","interview_Pyrus_002"
"q4","Написать регулярное выражение для поиска и удаления пробелов методом replace","Pyrus","2025-05-08","interview_Pyrus_002"
"q5","Отрефакторить данный код на JQuery, который обрабатывает клики по элементам с изменением стилей и алертами, используя более современный подход с использованием let и data","Pyrus","2025-05-08","interview_Pyrus_002"
"q6","Что такое JWT","Pyrus","2025-05-08","interview_Pyrus_002"
"q7","Где хранится JWT","Pyrus","2025-05-08","interview_Pyrus_002"
"q8","Зачем нужны два токена в системе аутентификации, почему нельзя обойтись одним","Pyrus","2025-05-08","interview_Pyrus_002"
"q9","Почему access токен не храним в cookie","Pyrus","2025-05-08","interview_Pyrus_002"
"q10","Оценить сложность алгоритма задачи с поиском уникальной строки по составу букв","Pyrus","2025-05-08","interview_Pyrus_002"
"q1","Расскажи о себе и о компании","Pyrus","2024-12-30","interview_Pyrus_003"
"q2","Какая самая интересная задача у тебя была?","Pyrus","2024-12-30","interview_Pyrus_003"
"q3","Сколько пользователей онлайн?","Pyrus","2024-12-30","interview_Pyrus_003"
"q4","Сколько сотрудников в компании?","Pyrus","2024-12-30","interview_Pyrus_003"
"q5","Расскажи про команду","Pyrus","2024-12-30","interview_Pyrus_003"
