"id","question_text","company","date","interview_id"
"q1","Как работает метод map, мутирует ли исходный массив","Домклие","2024-09-05","interview_Домклие_000"
"q2","Как работает метод filter, мутирует ли исходный массив","Домклие","2024-09-05","interview_Домклие_000"
"q3","Фазы события подробно про всплытие, погружение","Домклие","2024-09-05","interview_Домклие_000"
"q4","Отличие currentTarget от target","Домклие","2024-09-05","interview_Домклие_000"
"q5","async/await для чего, что возвращает async функция","Домклие","2024-09-05","interview_Домклие_000"
"q6","Что за флаги i, g в регулярках","Домклие","2024-09-05","interview_Домклие_000"
"q7","Что такое /d в регулярках","Домклие","2024-09-05","interview_Домклие_000"
"q8","Методы test, match отличия","Домклие","2024-09-05","interview_Домклие_000"
"q9","Метод replace подробно","Домклие","2024-09-05","interview_Домклие_000"
"q10","Что такое блочная модель","Домклие","2024-09-05","interview_Домклие_000"
"q11","Про особенности box-sizing: border-box","Домклие","2024-09-05","interview_Домклие_000"
"q12","Вес селекторов","Домклие","2024-09-05","interview_Домклие_000"
"q13","Про свойство position и его значения","Домклие","2024-09-05","interview_Домклие_000"
"q14","Про псевдоэлементы","Домклие","2024-09-05","interview_Домклие_000"
"q15","Псевдоклассы подробно","Домклие","2024-09-05","interview_Домклие_000"
"q16","Через какие свойства работаем с маркерами списков","Домклие","2024-09-05","interview_Домклие_000"
"q17","Как поменять цвет маркера списка","Домклие","2024-09-05","interview_Домклие_000"
"q18","Свойство transition и из чего состоит его значение","Домклие","2024-09-05","interview_Домклие_000"
"q19","Как делать анимации через keyframes и как их применять к элементам","Домклие","2024-09-05","interview_Домклие_000"
"q20","Чем плох transition: all","Домклие","2024-09-05","interview_Домклие_000"
"q21","Свойство will-change подробно, что будет если добавить его для всех элементов","Домклие","2024-09-05","interview_Домклие_000"
"q22","grid-template-columns","Домклие","2024-09-05","interview_Домклие_000"
"q23","repeat в гридах","Домклие","2024-09-05","interview_Домклие_000"
"q24","Как задать промежутки между колонками или строками","Домклие","2024-09-05","interview_Домклие_000"
"q25","grid-template-areas","Домклие","2024-09-05","interview_Домклие_000"
"q26","Как отловить прогрузку HTML, отличие DOMContentLoaded от load","Домклие","2024-09-05","interview_Домклие_000"
"q27","Как понять, что страница все еще грузится (document.readyState)","Домклие","2024-09-05","interview_Домклие_000"
"q28","localStorage vs cookie","Домклие","2024-09-05","interview_Домклие_000"
"q29","Спросил про preload атрибуты","Домклие","2024-09-05","interview_Домклие_000"
"q30","Про prefetch и preconnect","Домклие","2024-09-05","interview_Домклие_000"
"q31","Дефолтные скрипты vs async vs defer vs module","Домклие","2024-09-05","interview_Домклие_000"
"q32","Фрагменты в React, можно ли им проставить атрибут key","Домклие","2024-09-05","interview_Домклие_000"
"q33","Что будет, если задать списку один и тот же key","Домклие","2024-09-05","interview_Домклие_000"
"q34","Что такое useRef, useMemo, memo","Домклие","2024-09-05","interview_Домклие_000"
"q35","react.lazy для чего","Домклие","2024-09-05","interview_Домклие_000"
"q36","Что такое Redux, single source of truth в его контексте","Домклие","2024-09-05","interview_Домклие_000"
"q37","Реализуйте функцию, которая принимает число и возвращает максимальное число, составленное из его цифр, отсортированных по убыванию","Домклие","2024-09-05","interview_Домклие_000"
"q38","Преобразуйте массив чисел в строку с диапазонами: последовательности из трех и более подряд идущих чисел объединяются в диапазон, остальные числа выводятся отдельно","Домклие","2024-09-05","interview_Домклие_000"
