"id","question_text","company","date","interview_id"
"q1","какие сложные задачи решал, чем горжусь?","Чатап","2025-05-26","interview_Чатап_000"
"q2","почему выбрал компанию?","Чатап","2025-05-26","interview_Чатап_000"
"q3","с каким стеком работал?","Чатап","2025-05-26","interview_Чатап_000"
"q4","как обучаюсь?","Чатап","2025-05-26","interview_Чатап_000"
"q5","Разработать веб-приложение для управления списком задач (Todo List) с использованием React и Redux Toolkit, реализовать отображение списка задач, добавление новых задач, отметку задач как выполненных и удаление задач","Чатап","2025-05-26","interview_Чатап_000"
"q6","Создать необходимые actions, reducers и store для управления состоянием задач в Redux Toolkit","Чатап","2025-05-26","interview_Чатап_000"
"q7","Реализовать возможность редактирования задач в приложении Todo List","Чатап","2025-05-26","interview_Чатап_000"
"q8","Добавить возможность фильтрации задач по статусу (выполненные / невыполненные) в приложении Todo List","Чатап","2025-05-26","interview_Чатап_000"
"q9","Использовать TypeScript для статической типизации приложения Todo List","Чатап","2025-05-26","interview_Чатап_000"
"q10","Реализовать функционал перетаскивания задач для изменения их порядка в списке в приложении Todo List","Чатап","2025-05-26","interview_Чатап_000"
"q11","Добавить возможность сохранения задач в локальное хранилище браузера для сохранения данных между сеансами в приложении Todo List","Чатап","2025-05-26","interview_Чатап_000"
