"id","question_text","company","date","interview_id"
"q1","Какая у вас была верстка на проекте","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q2","Приходилось ли делать какие-то специальные приколы UIX под мобилку, например с точки зрения инпутов или клавиатуры или какое-то действие прожать, или разные картинки","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q3","Насколько мобильная версия отличалась от десктопной","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q4","Насколько отличался лаяут мобилки","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q5","Был ли рендер разных картинок","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q6","В чем дизайнеры готовили макеты","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q7","Какой CSS был","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q8","Работал ли tailwind и как он тебе","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q9","Писали ли вы тесты, кто писал и какие библиотеки использовали","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q10","Знаком ли с unit тестами","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q11","Как деплоили ваш проект","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q12","С какими проблемами приходилось сталкиваться при деплое","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q13","Какой GITFLOW использовался","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q14","Какие окружения были у тебя","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q15","В какие дебри приходилось залазить при деплое","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q16","Какая отладка была при продакшене","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q17","Как понимали, что у пользователя проблемы","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q18","Как замеряли скорость загрузки страницы","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q19","Собирали аналитику","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q20","Работал ли Next.js","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q21","Что знаешь про Next.js","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q22","Приходилось ли делать запуск отдельной фичи","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q23","Как делали запуск отдельной фичи","Staff-IT","2024-09-18","interview_Staff-IT_000"
"q24","Что использовали для запуска отдельной фичи","Staff-IT","2024-09-18","interview_Staff-IT_000"
