"id","question_text","company","date","interview_id"
"q1","Работал ли с TypeScript и какие преимущества он дает","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q2","Чем собирали проекты","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q3","Каким образом взаимодействовал с бэкендом","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q4","Расскажи про HTTP протокол своими словами, из опыта как взаимодействовал на практике и как писал запросы","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q5","Из чего состоит URL запроса","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q6","Абстрактно: надо отправить запрос чтобы вытащить один товар в карточку, как бы ты реализовал эту задачу","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q7","Какие HTTP методы знаешь и с какими работал, расскажи про метод OPTIONS","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q8","Как работает CORS и для чего он нужен","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q9","Как реализовать механизм обновления товаров в корзине","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q10","Если пользователь меняет устройство, как реализовать авторизацию и обновление корзины","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q11","Что такое сессии и заголовок авторизации, что за префикс bearer","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q12","Как реализовать передачу данных котировок в реальном времени","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q13","Как собрать и оптимизировать множество запросов списков с бэкенда","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
"q14","Представь, что у нас нет React, но мы хотим реализовать хуки, как бы ты реализовал систему хуков","Рвд Инфосистемы","2024-06-21","interview_Рвд_Инфосистемы_000"
