"id","question_text","company","date","interview_id"
"q1","Опишите вывод консольного кода с использованием setTimeout и цепочки Promise.then с несколькими вызовами console.log","Цб Рф","2025-04-10","interview_Цб_Рф_000"
"q2","Опишите вывод консольного кода с использованием Promise.resolve, выбрасывающего ошибку внутри then, и обработкой ошибки через catch","Цб Рф","2025-04-10","interview_Цб_Рф_000"
"q3","Разработать React-компонент, который загружает данные о курсах валют с сервиса ЦБ РФ https://www.cbr-xml-daily.ru/daily_json.js и отображает их в таблице с колонками: цифровой код валюты (NumCode), символьный код валюты (CharCode), наименование валюты (Name), курс (Value)","Цб Рф","2025-04-10","interview_Цб_Рф_000"
"q1","Расскажи про опыт","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q2","Как происходила оценка задачи","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q3","Процессы в команде","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q4","Что такое state","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q5","Что такое key в React","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q6","Расскажи про хуки в React","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q7","Как скопировать объект в JavaScript","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q8","Что такое псевдоклассы в CSS","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q9","Объясни архитектуру Redux и Flux","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q10","Что такое JWT и как он работает","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q11","Что такое SSR рендеринг","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q12","Объясни методы массива map, filter, reduce, forEach","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q13","Что такое Promise в JavaScript","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q14","Что такое CORS и как работают HTTP заголовки","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q15","Чем отличаются форматы XML и JSON","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q1","Реализуйте функцию getInitials, которая принимает полное имя и возвращает инициалы в формате 'П.И.'","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q2","Реализуйте функцию toCamelCase, которая преобразует строку с дефисами и подчеркиваниями в camelCase, сохраняя регистр первой части и делая заглавной первую букву каждой последующей части","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q3","Объясните, почему функция getFirstName, которая возвращает trimmed строку, выводит 'getFirstName', а затем undefined при вызове с аргументом ' Ivan'","Цб Рф","2024-11-20","interview_Цб_Рф_001"
"q4","В React задаче: укажите, что неправильно в коде, если нужно создать state для хранения данных и использовать setState для его обновления","Цб Рф","2024-11-20","interview_Цб_Рф_001"
