"id","question_text","company","date","interview_id"
"q1","Про опыт, спрашивал по конкретной реализации фич на прошлых проектах","Aladdin","2024-11-27","interview_Aladdin_000"
"q2","Про виртуализацию списков","Aladdin","2024-11-27","interview_Aladdin_000"
"q3","Как можно вызвать ререндер child из parent не прокидывая пропсы в child","Aladdin","2024-11-27","interview_Aladdin_000"
"q4","Спрашивал о работе веб-сервера Nginx, что это и зачем вообще надо","Aladdin","2024-11-27","interview_Aladdin_000"
"q5","TS: отличия типов от интерфейса","Aladdin","2024-11-27","interview_Aladdin_000"
"q6","Utility types в TypeScript","Aladdin","2024-11-27","interview_Aladdin_000"
"q7","Методы массивов","Aladdin","2024-11-27","interview_Aladdin_000"
"q8","useEffect и useLayoutEffect","Aladdin","2024-11-27","interview_Aladdin_000"
"q9","Дженерики в TypeScript и можно ли указать дженерик в JSX при рендере компонента","Aladdin","2024-11-27","interview_Aladdin_000"
"q10","useRef и forwardRef, можно ли реф прокинуть в дочерний компонент просто как пропс","Aladdin","2024-11-27","interview_Aladdin_000"
"q1","Написать каррированную функцию, которая принимает числа аргументами, после всех вызовов идет пустой вызов без аргументов, который свидетельствует об окончании работы функции, если функция сразу вызвана без аргументов — вернуть 0","Aladdin","2024-11-27","interview_Aladdin_000"
"q11","Задача на EventLoop","Aladdin","2024-11-27","interview_Aladdin_000"
