"id","question_text","company","date","interview_id"
"q1","В чем разница между блочными и строчными элементами","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q2","Как можно задать элементу тип гибридный, чтобы он комбинировал свойства блочных и строчных элементов","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q3","Какие могут быть проблемы, связанные с поддержкой разных браузеров","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q4","Какие типы данных есть в JavaScript","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q5","Какие нововведения появились в ES6","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q6","В чем отличие var, let и const","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q7","Что такое EventLoop","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q8","Что такое промисы, как они работают и как с ними работать","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q9","Что такое Set и Map в JavaScript, что такое автобоксинг","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q10","Как React управляет состоянием","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q11","Чем отличаются функциональные компоненты от классовых в React","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q12","Как работает useEffect в React","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q13","Как работают пропсы в React","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q14","Что такое мемоизация и какие способы мемоизации существуют","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q15","Какие основные преимущества у TypeScript","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q16","Чем интерфейсы отличаются от типов в TypeScript","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q17","Что выведет в консоль выражение (2).plus(3).minus(1)","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q18","Отрефакторить данный React-компонент UserList с использованием хуков useState и useEffect, типизировать с помощью TypeScript, улучшить обработку загрузки и фильтрации пользователей","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q19","Написать счетчик и типизировать состояние счетчика с помощью TypeScript","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
"q20","Переделать счетчик в таймер, который начинает отсчет с 10, каждую секунду уменьшает значение на 1, в конце выводит сообщение 'Время вышло' и останавливает таймер","Ооо Мобайлдевелопмент","2024-10-24","interview_Ооо_Мобайлдевелопмент_000"
