"id","question_text","company","date","interview_id"
"q1","По каким процессам работаете?","Интерфакс","2025-07-06","interview_Интерфакс_000"
"q2","Откуда приходит задача?","Интерфакс","2025-07-06","interview_Интерфакс_000"
"q3","Бывало ли такое что задача приходит в формате название и все?","Интерфакс","2025-07-06","interview_Интерфакс_000"
"q4","Расскажи про сложные задачи","Интерфакс","2025-07-06","interview_Интерфакс_000"
"q5","Какие конфликтные ситуации возникали?","Интерфакс","2025-07-06","interview_Интерфакс_000"
"q6","Что мотивирует?","Интерфакс","2025-07-06","interview_Интерфакс_000"
"q1","Написать функцию sleep","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q2","Написать функцию debounce","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q3","Написать функцию curry","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q4","Как развернуть массив с хаотичной вложенностью? Реализовать функцию flattenArray","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q5","Напиши функцию getCash(bills, amount), которая разменивает сумму amount на купюры из списка bills, используя минимальное количество купюр. Функция должна возвращать массив купюр в порядке убывания номиналов","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q6","Расскажи про event loop","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q7","Какие методы есть у Promise?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q8","Расскажи про call, apply, bind","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q9","Для чего использовался bind в классовых компонентах?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q10","В чем плюсы TypeScript?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q11","Для чего нужен тип unknown в TypeScript?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q12","В чем разница между операторами | и & в TypeScript?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q13","Почему React популярный? Расскажи как работает React, что знаешь","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q14","В каких случаях React-компонент обновляется?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q15","Какие минусы есть у контекста в React?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q16","В чем плюсы стейт-менеджеров? Какие использовал?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q17","Как оптимизировать фронтенд?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q18","Использовал ли Next.js и в чем его плюсы? Делал ли кастомные API routes?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q19","Какие минусы есть у API routes в Next.js?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q20","Был ли случай, когда ты был не прав?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q21","Что делаешь, чтобы не повторять прошлых ошибок?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q22","Как развиваешься лично?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q23","Как поддерживаешь мотивацию?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q24","Что нужно делать, чтобы поддерживать заряженный дух в команде?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q25","Как развиваешься во фронтенде?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q26","Как относишься к большим и сложным задачам?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q27","Что делаешь, если не успеваешь в срок?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q28","Был ли опыт менторинга?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q29","На какой грейд себя оцениваешь? Кто такой синьер для тебя?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q30","Что делать, если разработчик синьер, но дальше расти не хочет?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q31","Как не выгореть?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q32","К чему стремишься в течение 5 лет?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q33","Что важно для тебя в команде? Как дать расти другим членам команды?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q34","Что мотивирует по жизни и в работе?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q35","Что демотивирует?","Интерфакс","2025-07-06","interview_Интерфакс_001"
"q1","Рассказать про опыт работы в IT","Интерфакс","2025-07-04","interview_Интерфакс_002"
"q2","Реализуйте функцию sleep, которая возвращает Promise, резолвящийся через заданное количество миллисекунд","Интерфакс","2025-07-04","interview_Интерфакс_002"
"q3","Реализуйте функцию debounce с использованием стрелочной функции и таймера для задержки вызова колбэка","Интерфакс","2025-07-04","interview_Интерфакс_002"
"q4","Реализуйте функцию debounce старым способом с использованием function и сохранением контекста вызова и аргументов","Интерфакс","2025-07-04","interview_Интерфакс_002"
"q5","Реализуйте функцию curry, которая преобразует функцию с несколькими аргументами в цепочку вызовов с одним или несколькими аргументами","Интерфакс","2025-07-04","interview_Интерфакс_002"
"q2","Реализуйте функцию debounce, которая принимает функцию и время задержки, и возвращает новую функцию, вызывающую исходную функцию не чаще чем раз в заданный интервал времени","Интерфакс","2025-06-25","interview_Интерфакс_003"
"q3","Реализуйте функцию curry, которая преобразует функцию с несколькими аргументами в последовательность функций, принимающих по одному или нескольким аргументам, и выполняет исходную функцию, когда передано достаточное количество аргументов","Интерфакс","2025-06-25","interview_Интерфакс_003"
