"id","question_text","company","date","interview_id"
"q1","Какие паттерны используешь","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q2","Как бы ты создал систему уведомления без вводных данных","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q3","Как бы ты создал систему публикаций, предполагая бэкенд","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q4","Определить наступление события в Node.js","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q5","Объяснить разницу между холодным и горячим кэшем в Node.js","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q6","Как прогреть кэш в Node.js","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q7","Для чего нужна Node.js","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q8","Что такое WebWorker","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q9","Что такое WebSocket","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q10","Объяснить разницу между авторизацией и аутентификацией","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q11","Как сделать авторизацию для одного устройства","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
"q12","Что такое JWT и как его использовать для авторизации","Центр Авиа","2025-02-07","interview_Центр_Авиа_000"
