"id","question_text","company","date","interview_id"
"q1","Вопросы про опыт.","Wanted","2024-09-27","interview_Wanted_000"
"q2","Микрофронты были на проекте?","Wanted","2024-09-27","interview_Wanted_000"
"q3","Расскажи про свой Ui Kit.","Wanted","2024-09-27","interview_Wanted_000"
"q4","Плюсы и минусы микрофронтов?","Wanted","2024-09-27","interview_Wanted_000"
"q5","Какой протокол использовали на проекте?","Wanted","2024-09-27","interview_Wanted_000"
"q6","Расскажи про EventLoop.","Wanted","2024-09-27","interview_Wanted_000"
"q7","Задачи на EventLoop из платинового уровня сложности.","Wanted","2024-09-27","interview_Wanted_000"
"q8","Задачи из платинового уровня сложности.","Wanted","2024-09-27","interview_Wanted_000"
"q9","Задача по React с обработкой запросов и прочими деталями, как на платиновом уровне.","Wanted","2024-09-27","interview_Wanted_000"
"q1","Нужно разработать с нуля 3 лендинга с SEO индексацией, 2 страницы авторизации (регистрация и логин) и 3 страницы личного кабинета с формами. Макеты и бэк готовы, как будешь реализовывать","Wanted","2024-07-20","interview_Wanted_001"
"q2","Какой сборщик возьмешь - webpack или vite","Wanted","2024-07-20","interview_Wanted_001"
"q3","Для серверного рендеринга что возьмешь","Wanted","2024-07-20","interview_Wanted_001"
"q4","Нам нужен SSR или SSG","Wanted","2024-07-20","interview_Wanted_001"
"q5","Настраивал ли ты SSR или SSG на webpack или vite без next.js","Wanted","2024-07-20","interview_Wanted_001"
"q6","Что будешь использовать для стилизации","Wanted","2024-07-20","interview_Wanted_001"
"q7","Что такое семантическая верстка и для чего она нужна","Wanted","2024-07-20","interview_Wanted_001"
"q8","Что такое accessibility","Wanted","2024-07-20","interview_Wanted_001"
"q9","Float, flex, grid - что выберешь и почему","Wanted","2024-07-20","interview_Wanted_001"
"q10","Для чего нужна табличная верстка, например, для email писем","Wanted","2024-07-20","interview_Wanted_001"
"q11","В чем отличие между форматами изображений png, jpeg, webp, svg","Wanted","2024-07-20","interview_Wanted_001"
"q12","Что бы использовал для создания форм и почему","Wanted","2024-07-20","interview_Wanted_001"
"q13","Верно ли, что formik и react hook form используются только для управления состоянием формы, а для валидации формы применяются другие библиотеки","Wanted","2024-07-20","interview_Wanted_001"
"q14","В нашем приложении нужно отправлять данные на бекенд, с помощью каких инструментов будешь это делать","Wanted","2024-07-20","interview_Wanted_001"
"q15","Работал ли с react query, что лучше использовать - fetch или react query и почему","Wanted","2024-07-20","interview_Wanted_001"
"q16","В личном кабинете много форм, состояний, флагов, данных о пользователе. Где будешь хранить все эти флаги, состояния и данные? Рассматривал zustand или redux","Wanted","2024-07-20","interview_Wanted_001"
"q17","В каком случае лучше использовать zustand, а в каком redux","Wanted","2024-07-20","interview_Wanted_001"
"q18","Что такое селекторы в redux, объясни подробно","Wanted","2024-07-20","interview_Wanted_001"
"q19","Почему лучше использовать селекторы, а не обращаться к стору напрямую","Wanted","2024-07-20","interview_Wanted_001"
"q20","Работал ли с redux-saga, стал бы их сейчас использовать и для чего","Wanted","2024-07-20","interview_Wanted_001"
"q21","В приложение необходимо добавить интернационализацию с английским и немецким языками, как будешь это делать","Wanted","2024-07-20","interview_Wanted_001"
"q22","Приходилось ли работать с right-to-left версткой и как это реализовывал","Wanted","2024-07-20","interview_Wanted_001"
