"id","question_text","company","date","interview_id"
"q1","Расскажи о себе, о своём опыте","R-Vision","2025-06-11","interview_R-Vision_000"
"q2","Что для тебя сложная форма","R-Vision","2025-06-11","interview_R-Vision_000"
"q3","Как себя оцениваешь, на какую позицию","R-Vision","2025-06-11","interview_R-Vision_000"
"q4","event loop","R-Vision","2025-06-11","interview_R-Vision_000"
"q5","Что будет в консоли при выполнении функции fn с console.log(this), вызове метода somefn объекта newObj и создании экземпляра new fn","R-Vision","2025-06-11","interview_R-Vision_000"
"q6","Что будет с приложением при рекурсивном вызове функции fn, которая возвращает Promise с вызовом самой себя, и при вызове функции fn2, которая возвращает вызов fn","R-Vision","2025-06-11","interview_R-Vision_000"
"q7","С какими CSS библиотеками работал, что больше нравится","R-Vision","2025-06-11","interview_R-Vision_000"
"q8","Какие компоненты стоит оборачивать в Storybook","R-Vision","2025-06-11","interview_R-Vision_000"
"q9","Задача на рефакторинг компонента с трансляцией на экран, поправить только стили","R-Vision","2025-06-11","interview_R-Vision_000"
"q10","Когда лучше использовать grid, а когда flex в верстке, приведи примеры из опыта","R-Vision","2025-06-11","interview_R-Vision_000"
"q11","Почему в некоторых ситуациях reduce будет не оптимально работать, если в качестве аккумулятора используется объект или массив","R-Vision","2025-06-11","interview_R-Vision_000"
"q12","Что может триггерить ререндер в React","R-Vision","2025-06-11","interview_R-Vision_000"
"q13","Как React.memo сравнивает пропсы под капотом и что можно передать туда вторым аргументом","R-Vision","2025-06-11","interview_R-Vision_000"
"q14","Если в списке React явно не указать key, что React поставит в качестве ключей","R-Vision","2025-06-11","interview_R-Vision_000"
"q15","useEffect","R-Vision","2025-06-11","interview_R-Vision_000"
"q16","useLayoutEffect","R-Vision","2025-06-11","interview_R-Vision_000"
"q17","Для чего нужен стор в приложении, какие сторы использовал и с какими знаком","R-Vision","2025-06-11","interview_R-Vision_000"
"q18","useContext и какие у него минусы","R-Vision","2025-06-11","interview_R-Vision_000"
"q19","Подробно про React Hook Form","R-Vision","2025-06-11","interview_R-Vision_000"
"q20","Какой тип реализован в TypeScript через Omit: type customOmit<T, K extends keyof T> = { [P in keyof T as P extends K ? never : P]: T[P]; }","R-Vision","2025-06-11","interview_R-Vision_000"
"q21","Реализовать игру пятнашки: массив должен быть отсортирован, в конце должно быть пусто (0)","R-Vision","2025-06-11","interview_R-Vision_000"
"q1","Подробно рассказать про опыт, как ставили задачи, кто ставил задачи, как взаимодействовали с бекендом, подробно описать запоминающиеся задачи, которыми гордитесь","R-Vision","2024-12-06","interview_R-Vision_001"
"q2","Реализовать полифил Array.prototype.reduce с поддержкой callback и initialValue","R-Vision","2024-12-06","interview_R-Vision_001"
"q1","Что будет в массиве если const arr = [1,2,3]; arr['5'] = 'test'; arr['xyz'] = 'test'","R-Vision","2024-11-27","interview_R-Vision_002"
"q2","Расскажи про опыт","R-Vision","2024-11-27","interview_R-Vision_002"
"q3","Как зафризить объект","R-Vision","2024-11-27","interview_R-Vision_002"
"q4","Что такое this","R-Vision","2024-11-27","interview_R-Vision_002"
"q5","Хуки","R-Vision","2024-11-27","interview_R-Vision_002"
"q6","React.memo","R-Vision","2024-11-27","interview_R-Vision_002"
"q7","FSD","R-Vision","2024-11-27","interview_R-Vision_002"
"q8","Про webworker","R-Vision","2024-11-27","interview_R-Vision_002"
"q9","Способы оптимизации приложения","R-Vision","2024-11-27","interview_R-Vision_002"
"q10","REST vs GraphQL","R-Vision","2024-11-27","interview_R-Vision_002"
"q11","Методы REST","R-Vision","2024-11-27","interview_R-Vision_002"
"q12","JWT","R-Vision","2024-11-27","interview_R-Vision_002"
"q13","Про разные архитектуры какие еще есть","R-Vision","2024-11-27","interview_R-Vision_002"
"q14","Паттерны проектирования","R-Vision","2024-11-27","interview_R-Vision_002"
"q15","SOLID","R-Vision","2024-11-27","interview_R-Vision_002"
"q16","interface vs type","R-Vision","2024-11-27","interview_R-Vision_002"
"q17","any vs unknown","R-Vision","2024-11-27","interview_R-Vision_002"
"q18","never","R-Vision","2024-11-27","interview_R-Vision_002"
"q19","Generic","R-Vision","2024-11-27","interview_R-Vision_002"
"q20","Utility Types","R-Vision","2024-11-27","interview_R-Vision_002"
"q21","Специфичность css","R-Vision","2024-11-27","interview_R-Vision_002"
"q22","position (какие есть, подробно) что по умолчанию","R-Vision","2024-11-27","interview_R-Vision_002"
"q23","display (какие есть, подробно)","R-Vision","2024-11-27","interview_R-Vision_002"
"q24","flex vs grid подробно","R-Vision","2024-11-27","interview_R-Vision_002"
"q25","TDD","R-Vision","2024-11-27","interview_R-Vision_002"
"q2","Делал ли динамаческие формы","R-Vision","2024-11-26","interview_R-Vision_003"
"q3","Разница graphQL от Rest Api","R-Vision","2024-11-26","interview_R-Vision_003"
"q4","Плюсы и минусы FSD","R-Vision","2024-11-26","interview_R-Vision_003"
"q5","Какие способы оптимизации знаешь","R-Vision","2024-11-26","interview_R-Vision_003"
"q6","Расскажи про Promise","R-Vision","2024-11-26","interview_R-Vision_003"
"q7","Работал ли с генераторами и для чего они","R-Vision","2024-11-26","interview_R-Vision_003"
"q8","Какие сборки знаешь и какими собирал проекты","R-Vision","2024-11-26","interview_R-Vision_003"
"q9","В кого в будущем развиваться хотел бы","R-Vision","2024-11-26","interview_R-Vision_003"
"q10","Про Proxy","R-Vision","2024-11-26","interview_R-Vision_003"
"q11","Какими способами можем заблочить страницу (while(true) и т.д.)","R-Vision","2024-11-26","interview_R-Vision_003"
"q12","Расскажи про EventLoop","R-Vision","2024-11-26","interview_R-Vision_003"
"q13","Если нам нужен метод filter, а его нет, как нам реализовать его в прототипе","R-Vision","2024-11-26","interview_R-Vision_003"
"q14","Работал ли с TypeScript, на сколько себя оцениваешь","R-Vision","2024-11-26","interview_R-Vision_003"
"q15","Расскажи про дженерики в TypeScript","R-Vision","2024-11-26","interview_R-Vision_003"
"q16","Расскажи про утилити типы в TypeScript","R-Vision","2024-11-26","interview_R-Vision_003"
"q17","Отличие any от unknown в TypeScript","R-Vision","2024-11-26","interview_R-Vision_003"
"q18","Работал с infer в TypeScript","R-Vision","2024-11-26","interview_R-Vision_003"
"q19","Что происходит, когда в браузерную строку вводим Enter","R-Vision","2024-11-26","interview_R-Vision_003"
"q20","Расскажи про SSE и WebSocket","R-Vision","2024-11-26","interview_R-Vision_003"
"q21","Перед тем как устанавливать npm, что бы ты делал","R-Vision","2024-11-26","interview_R-Vision_003"
"q22","Расскажи про LCP, FID, CLS","R-Vision","2024-11-26","interview_R-Vision_003"
"q23","Расскажи про JWT","R-Vision","2024-11-26","interview_R-Vision_003"
"q24","На проекте зависла страница, какие твои действия","R-Vision","2024-11-26","interview_R-Vision_003"
"q1","Проанализировать поведение функции doSomething, которая вызывает Promise.resolve().then(() => doSomething()) рекурсивно","R-Vision","2024-11-26","interview_R-Vision_003"
"q2","Проанализировать поведение функции doSomething2, которая вызывает саму себя рекурсивно без асинхронности","R-Vision","2024-11-26","interview_R-Vision_003"
"q3","Определить результат выполнения Promise.race с двумя промисами, один из которых резолвится через 500 мс со значением 'one', другой через 1000 мс со значением 'two'","R-Vision","2024-11-26","interview_R-Vision_003"
