"id","question_text","company","date","interview_id"
"q1","Принцип headless-components?","Иннополис","2025-07-06","interview_Иннополис_000"
"q2","Какая была архитектура фронта на проекте?","Иннополис","2025-07-06","interview_Иннополис_000"
"q3","Как общались с бэком?","Иннополис","2025-07-06","interview_Иннополис_000"
"q4","Что такое BFF, был ли настроен на проекте?","Иннополис","2025-07-06","interview_Иннополис_000"
"q5","Расскажи всё что знаешь про авторизацию, по какому принципу она была построена у вас на фронте? Использовали библиотеку для jwt токенов?","Иннополис","2025-07-06","interview_Иннополис_000"
"q6","Как происходит обновление access токена на фронте, опишите алгоритм с использованием axios interceptors?","Иннополис","2025-07-06","interview_Иннополис_000"
"q7","У вас было 3 фронта на проекте, как вы распределяли задачи, какие предпочитаете и какие у вас были?","Иннополис","2025-07-06","interview_Иннополис_000"
"q8","При авторизации внедряли функционал ролей?","Иннополис","2025-07-06","interview_Иннополис_000"
"q9","Приходите в команду, а там access токен передаётся в query параметрах, какие ваши действия?","Иннополис","2025-07-06","interview_Иннополис_000"
"q10","Как работает event-loop?","Иннополис","2025-07-06","interview_Иннополис_000"
"q11","Расскажите всё что знаете про промисы, их методы, chaining","Иннополис","2025-07-06","interview_Иннополис_000"
"q12","Можно ли после catch снова навесить then?","Иннополис","2025-07-06","interview_Иннополис_000"
"q13","Что такое область видимости, замыкание, лексическое окружение, var let const?","Иннополис","2025-07-06","interview_Иннополис_000"
"q14","Приведите пример использования замыканий в работе","Иннополис","2025-07-06","interview_Иннополис_000"
"q15","Что такое HOC, приведите пример","Иннополис","2025-07-06","interview_Иннополис_000"
"q16","Для чего нужен react.memo?","Иннополис","2025-07-06","interview_Иннополис_000"
"q17","Как отслеживать ререндеры в React?","Иннополис","2025-07-06","interview_Иннополис_000"
"q18","Назовите хуки, которые знаете, и опишите жизненный цикл компонента","Иннополис","2025-07-06","interview_Иннополис_000"
"q19","Где мы используем жизненный цикл (useEffect)?","Иннополис","2025-07-06","interview_Иннополис_000"
"q20","Что такое Map, пользовались ли маппингом?","Иннополис","2025-07-06","interview_Иннополис_000"
"q21","У нас есть 3 группы инпутов по 3 инпута в каждой. При вводе значения в один первый инпут, такое же значение появляется в остальных первых инпутах в других группах. Как избежать данного поведения?","Иннополис","2025-07-06","interview_Иннополис_000"
"q22","Как обрабатывали данные с бэка с помощью TypeScript, какие проблемы были?","Иннополис","2025-07-06","interview_Иннополис_000"
"q23","Что такое utility types в TypeScript?","Иннополис","2025-07-06","interview_Иннополис_000"
"q24","Объясните принципы ООП","Иннополис","2025-07-06","interview_Иннополис_000"
"q1","Реализуйте функцию, которая принимает массив объектов с полями firstName, age, company и возвращает средний возраст сотрудников по каждой компании","Иннополис","2025-07-06","interview_Иннополис_000"
