"id","question_text","company","date","interview_id"
"q1","Как пришел в IT","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q2","Чем хочешь заниматься сейчас","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q3","Какое для себя видишь развитие","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q4","Почему меняешь работу","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q5","Предметные вопросы про опыт","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q6","У тебя есть бандл, твоя задача его оптимизировать (только js). Сборка приложения происходит на webpack","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q7","У тебя есть проект с более чем 10 разделами с разной бизнес логикой, у проекта нет автоматического тестирования. Что ты будешь делать, чтобы исправить это","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q8","Напишите функцию, которая генерирует случайный цвет в формате HEX (#ffffff)","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q9","Напишите функцию генерации случайного цвета в формате HEX в одну строку","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q10","Напишите метод, который генерирует случайный 4-х значный код от 0000 до 9999, при этом каждый вызов должен возвращать новый, неповторяющийся код, а после использования всех кодов метод должен обнулить счетчик","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q11","Какие еще возможные решения задачи генерации неповторяющегося 4-х значного кода от 0000 до 9999 с обнулением после исчерпания всех кодов","AmoCRM","2025-07-16","interview_AmoCRM_000"
"q1","Сколько нужно было апрувов для пуша в фичи в ветку","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q2","Какие линтеры и форматировщики использовали","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q3","Как отсматриваете свои фичи и как кто смотрит","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q4","useEffect синхронный или асинхронный?","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q5","Какие жизненные циклы реализует useEffect","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q6","Для чего нужна cleanup функция в useEffect","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q7","Для чего используется key в React","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q8","Что используешь для key в React","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q9","Расскажи про Flux всё, что знаешь","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q10","Расскажи про event loop всё, что знаешь","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q11","Написать функцию генерации случайного hex цвета, возвращающую строку вида #xxxxxx с шестью символами от 0 до f","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q12","Реализовать функцию groupDataBySkill, которая группирует массив объектов по полю skill, возвращая объект с ключами-скиллами и значениями-массивами объектов с этим скиллом","AmoCRM","2025-07-07","interview_AmoCRM_001"
"q1","В целом отдаешь предпочтение готовым решениям или сам изобретаешь велосипед?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q2","На перфоманс проверяете, когда затаскиваете новую библиотеку?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q3","Как проводили код ревью? На что обращали внимание?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q4","Сколько по времени тратили на просмотр кода на ревью?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q5","Почему выбирают React, а не нативный JavaScript? Какие преимущества дает эта библиотека? И что ты знаешь о методах оптимизации в React?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q6","Хук useEffect. В какой момент он срабатывает? Для чего используется? Можем ли мы подписываться на какие-то события в браузере?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q7","Как реализована функция очистки (clean up) в useEffect?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q8","Для чего могут использоваться keys в React? Как их правильно задавать?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q9","В чем недостаток использования Math.random() для генерации keys в React?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q10","С какими стейт менеджерами работал?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q11","Расскажи, что такое flux архитектура? Как работает цикл внутри flux?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q12","Сталкивался ли с дженериками в TypeScript? Что это и для чего использовать?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q13","Какие utility types в TypeScript знаешь? С какими сталкивался в работе? Что они делают?","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q14","Расскажи про EventLoop в JavaScript","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q1","Напишите функцию, которая генерирует случайный цвет в формате HEX (#ffffff) с использованием генератора случайных кодов с предзаполненным и перемешанным стеком значений","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q2","Определите порядок вывода чисел в консоль для данного асинхронного кода с setTimeout и Promise","AmoCRM","2025-06-17","interview_AmoCRM_002"
"q1","Реализуйте функцию generateRandomHexColor, которая генерирует случайный HEX цвет в формате #xxxxxx","AmoCRM","2025-06-03","interview_AmoCRM_003"
"q2","Напишите метод getCode, который генерирует случайный 4-х значный код от 0000 до 9999, при этом каждый вызов должен возвращать новый неповторяющийся код, а после использования всех кодов счетчик должен обнуляться","AmoCRM","2025-06-03","interview_AmoCRM_003"
"q3","Определите порядок вывода чисел в консоль при выполнении вложенных setTimeout и Promise с учетом event-loop","AmoCRM","2025-06-03","interview_AmoCRM_003"
"q4","Как можно улучшить функцию groupDataBySkill, которая группирует массив объектов по полю skill, используя reduce и учитывая обработку ошибок при асинхронном получении данных","AmoCRM","2025-06-03","interview_AmoCRM_003"
