"id","question_text","company","date","interview_id"
"q1","Реакт приложение: отрефакторить код с учетом следующих проблем: неправильный нейминг переменных, лишний useCallback без потомков, if перед useEffect, использование async функции внутри useEffect, отсутствие массива зависимостей в useEffect, объединение логики работы с данными и их отображения в одном компоненте, отсутствие отображения загрузки и ошибок, отсутствие атрибута key, не вынесены константы","Datsteam","2024-12-11","interview_Datsteam_000"
"q2","Что делать, если разработчик выполняет задачи слишком долго","Datsteam","2024-12-11","interview_Datsteam_000"
"q3","Какая главная задача у лида","Datsteam","2024-12-11","interview_Datsteam_000"
"q1","Чем image отличается от контейнера в docker","Datsteam","2024-11-14","interview_Datsteam_001"
"q2","Способы хранения памяти на фронте и их различия","Datsteam","2024-11-14","interview_Datsteam_001"
"q3","Способы оптимизации фронта","Datsteam","2024-11-14","interview_Datsteam_001"
"q4","Рефактор компоненты PokemonsNamesList с использованием useEffect, useState и useCallback для загрузки и отображения списка покемонов с обработкой ошибок","Datsteam","2024-11-14","interview_Datsteam_001"
"q1","Посчитать сумму в массиве, если встречается символ, то далее элементы конкатенировать как к строке","Datsteam","2024-07-13","interview_Datsteam_002"
"q2","Найти первые индексы элементов массива, которые в сумме дают заданное число","Datsteam","2024-07-13","interview_Datsteam_002"
"q3","Написать функцию, которая делает заданное количество попыток загрузить данные с URL с помощью fetch и возвращает результат или ошибку после исчерпания попыток","Datsteam","2024-07-13","interview_Datsteam_002"
