"id","question_text","company","date","interview_id"
"q1","про опыт","Solar","2024-10-25","interview_Solar_000"
"q2","почему fsd?","Solar","2024-10-25","interview_Solar_000"
"q3","чего бы хотелось на новом месте?","Solar","2024-10-25","interview_Solar_000"
"q4","как были выстроены процессы в команде?","Solar","2024-10-25","interview_Solar_000"
"q5","как хотелось бы работать по скраму или канбану?","Solar","2024-10-25","interview_Solar_000"
"q6","что такое виртуальный дом в реакте?","Solar","2024-10-25","interview_Solar_000"
"q7","как сравнивается реальный с виртуальным домом?","Solar","2024-10-25","interview_Solar_000"
"q8","ключевые отличия классового от функционального компонента","Solar","2024-10-25","interview_Solar_000"
"q9","расскажи про хуки","Solar","2024-10-25","interview_Solar_000"
"q10","useState, в чем ее ключевые особенности (хранить значение между рендерами и при изменении значений вызывает перерендер)","Solar","2024-10-25","interview_Solar_000"
"q11","useMemo","Solar","2024-10-25","interview_Solar_000"
"q12","useCallback (в каких случаях он не избыточен)","Solar","2024-10-25","interview_Solar_000"
"q13","useRef","Solar","2024-10-25","interview_Solar_000"
"q14","методы http запросов","Solar","2024-10-25","interview_Solar_000"
"q15","cors","Solar","2024-10-25","interview_Solar_000"
"q16","c графкуель работал?","Solar","2024-10-25","interview_Solar_000"
"q17","куки?","Solar","2024-10-25","interview_Solar_000"
"q18","что для тебя компания мечты?","Solar","2024-10-25","interview_Solar_000"
"q19","команда мечты?","Solar","2024-10-25","interview_Solar_000"
"q20","что тебя тригернет сразу пойти?","Solar","2024-10-25","interview_Solar_000"
