"id","question_text","company","date","interview_id"
"q1","Типы данных в JavaScript","Restoclub","2025-03-12","interview_Restoclub_000"
"q2","В чем отличия function declaration и function expression в JavaScript","Restoclub","2025-03-12","interview_Restoclub_000"
"q3","В чем отличия между Map и Set в JavaScript","Restoclub","2025-03-12","interview_Restoclub_000"
"q4","Для чего используются cookie, sessionStorage и localStorage и в чем их отличия","Restoclub","2025-03-12","interview_Restoclub_000"
"q5","Что такое функции высшего порядка (HOF) в JavaScript, приведите пример","Restoclub","2025-03-12","interview_Restoclub_000"
"q6","В чем отличия var, let и const в JavaScript","Restoclub","2025-03-12","interview_Restoclub_000"
"q7","Объясните event loop, микро- и макротаски, как это работает в JavaScript","Restoclub","2025-03-12","interview_Restoclub_000"
"q8","Как работают промисы в JavaScript, объясните методы Promise.race и Promise.all","Restoclub","2025-03-12","interview_Restoclub_000"
"q9","Что такое this в JavaScript и как он работает в обычных и стрелочных функциях","Restoclub","2025-03-12","interview_Restoclub_000"
"q10","Объясните модули в JavaScript: import/export (ES6+) и CommonJS (require)","Restoclub","2025-03-12","interview_Restoclub_000"
"q11","Для чего используется useEffect в React, какие есть методы жизненного цикла компонента, в чем отличия useEffect от useLayoutEffect","Restoclub","2025-03-12","interview_Restoclub_000"
"q12","Как React понимает, когда нужно сделать ререндер компонента","Restoclub","2025-03-12","interview_Restoclub_000"
"q13","Объясните передачу пропсов в React, как примитивы и ссылки влияют на ререндер, вопросы про useCallback и memo","Restoclub","2025-03-12","interview_Restoclub_000"
"q14","Что произойдет, если поместить тяжелые вычисления в useEffect, будет ли блокировка UI","Restoclub","2025-03-12","interview_Restoclub_000"
"q15","Объясните способы хранения данных в React: useState, state менеджеры, useRef, context","Restoclub","2025-03-12","interview_Restoclub_000"
"q16","Вопрос про архитектуру frontend software development (FSD), преимущества и недостатки","Restoclub","2025-03-12","interview_Restoclub_000"
