"id","question_text","company","date","interview_id"
"q1","Использовали ли WebSocket, где и какие нюансы при работе","Brainshell","2024-07-04","interview_Brainshell_000"
"q2","Расскажи про react-query, tanstack-query","Brainshell","2024-07-04","interview_Brainshell_000"
"q3","Чем пользовался для взаимодействия с api","Brainshell","2024-07-04","interview_Brainshell_000"
"q4","event-loop для чего нужен, как работает","Brainshell","2024-07-04","interview_Brainshell_000"
"q5","Что такое замыкание","Brainshell","2024-07-04","interview_Brainshell_000"
"q6","this как работает и какие особенности при работе с ним","Brainshell","2024-07-04","interview_Brainshell_000"
"q7","Promise что такое и как работает","Brainshell","2024-07-04","interview_Brainshell_000"
"q8","Async await что такое и как работает","Brainshell","2024-07-04","interview_Brainshell_000"
"q9","Есть три асинхронных запроса, как их объединить и дождаться результата","Brainshell","2024-07-04","interview_Brainshell_000"
"q10","Расскажи про Set и Map, WeakSet и WeakMap, назови отличия","Brainshell","2024-07-04","interview_Brainshell_000"
"q11","Что такое слабая ссылка weak links","Brainshell","2024-07-04","interview_Brainshell_000"
"q12","Для чего можно использовать WeakSet и WeakMap","Brainshell","2024-07-04","interview_Brainshell_000"
"q13","Что такое контекст в реакте","Brainshell","2024-07-04","interview_Brainshell_000"
"q14","Что такое VDOM, для чего используется, какие преимущества","Brainshell","2024-07-04","interview_Brainshell_000"
"q15","Для чего нужен атрибут KEY в React","Brainshell","2024-07-04","interview_Brainshell_000"
"q16","Назови хуки реакта, какие основные знаешь и как они работают","Brainshell","2024-07-04","interview_Brainshell_000"
"q17","Протокол HTTP что такое и как работает","Brainshell","2024-07-04","interview_Brainshell_000"
"q18","Какие есть методы в HTTP и как работают","Brainshell","2024-07-04","interview_Brainshell_000"
"q19","Структура HTTP запроса","Brainshell","2024-07-04","interview_Brainshell_000"
"q20","Как устанавливается соединение между клиентом и сервером","Brainshell","2024-07-04","interview_Brainshell_000"
"q21","HTTPS что такое и отличие от HTTP","Brainshell","2024-07-04","interview_Brainshell_000"
"q22","Как осуществляется шифрование в TLS","Brainshell","2024-07-04","interview_Brainshell_000"
"q23","Что такое CORS и как работает, как браузер себя ведет","Brainshell","2024-07-04","interview_Brainshell_000"
"q24","Что такое Preflight Requests","Brainshell","2024-07-04","interview_Brainshell_000"
"q25","Какие есть основные заголовки CORS","Brainshell","2024-07-04","interview_Brainshell_000"
"q26","Расскажи про ООП и как использовал","Brainshell","2024-07-04","interview_Brainshell_000"
"q27","Расскажи про SOLID и как использовал","Brainshell","2024-07-04","interview_Brainshell_000"
"q28","Расскажи про дженерики","Brainshell","2024-07-04","interview_Brainshell_000"
"q29","Какой есть недостаток при типизации в TypeScript","Brainshell","2024-07-04","interview_Brainshell_000"
"q30","Отличие type от interface в TypeScript","Brainshell","2024-07-04","interview_Brainshell_000"
