"id","question_text","company","date","interview_id"
"q1","Немного о себе","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q2","Почему ищешь работу","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q3","Делаешь запрос на сервер и получаешь ошибку, какие твои действия","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q4","Где брал задачи","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q5","На чем был бекенд","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q6","Что такое HTML","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q7","Что такое семантические теги","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q8","Для чего нужен doctype","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q9","Приведи примеры блочных и строчных тегов и объясни, чем они отличаются","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q10","Как можно стилизовать элемент","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q11","Что такое специфичность селекторов","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q12","Какие виды position существуют в CSS","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q13","Объясни разницу между relative и absolute позиционированием","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q14","Относительно чего можно позиционировать элемент с position absolute","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q15","Какие преимущества использования SCSS","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q16","Что такое миксины в SCSS","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q17","Какая типизация в JavaScript","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q18","Что такое JavaScript","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q19","Какие типы данных бывают в JavaScript","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q20","Сравнение примитивных и ссылочных типов данных в JavaScript","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q21","В чем отличие var, let и const","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q22","Что такое всплытие (hoisting) в JavaScript","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q23","Как сделать так, чтобы переменная a была доступна внутри функции, если var a = 10 объявлена вне функции","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q24","Объясни результат выражения console.log('' || {})","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q25","Объясни результат выражения console.log('0' && 2)","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q26","Объясни результат выражения console.log('' ?? {})","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q27","Как изменить контекст вызова функции в JavaScript","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q28","Объясни разницу между call, apply и bind","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q29","Какие виды функций существуют в JavaScript и в чем их разница","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
"q30","Что такое this в JavaScript","Эремейч Рус","2025-06-17","interview_Эремейч_Рус_000"
