"id","question_text","company","date","interview_id"
"q1","Расскажи о себе о предыдущем опыте?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q2","Как решали проблему внедрения FSD с учетом того что проект долго разрабатывается и есть старички как обучать их и с какими проблемами сталкивался?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q3","Подробно расскажи по резюме по флоу работы команд и т.д.","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q4","use strict что такое и зачем нужен, как использовали?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q5","Map, Set, Object — приведи примеры из жизни использования","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q6","В чем разница между null и undefined?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q7","Reflow vs repaint — в чем разница?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q8","Как на странице вызвать reflow?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q9","В двух словах как происходит построение страницы, какие фазы есть?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q10","Какие проблемы могут быть на странице при частом reflow?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q11","В чем разница между position absolute и relative?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q12","Чем отличается any от unknown в TypeScript?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q13","Как unknown превращается в какой-то тип?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q14","Приведи примеры ситуаций, где применял any, а где unknown","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q15","Как бы решал задачу рефакторинга компонентов с кучей any?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q16","Использовал ли дженерики? Приведи примеры использования дженериков из реальной работы","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q17","В каких случаях вызывается перерисовка родителя?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q18","Как в React хуках можно вызвать forceUpdate?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q19","Для чего нужен useSyncExternalStore()?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q20","Почему нельзя объявлять хуки в условиях?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q21","Дали на рефакторинг старый код, пользователи говорят, что все тормозит и дергается, тебе дали задачу решить, как будешь действовать?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q22","Как будешь собирать метрики производительности?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q23","Мемоизация — что это и зачем нужна в React?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q24","Чем мемоизация отличается от кэширования?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q25","Где использовал useMemo?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q26","Работал ли с webWorker?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q27","Что такое микро- и макротаски?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q28","Если есть бесконечная очередь микротасков, заблокирует ли это выполнение? А если сеттаймауты?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q29","Что такое requestAnimationFrame (RAF) и использовал ли?","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q30","Приведи пример использования requestAnimationFrame (RAF)","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q1","Реализовать функцию debounce с задержкой t, которая отменяет предыдущий вызов и вызывает функцию fn с аргументами после задержки","Лига Цифровой Экономики","2025-07-03","interview_Лига_Цифровой_Экономики_000"
"q2","Как происходило взаимодействие с другими фронтами?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q3","Как ревью проходило?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q4","Что использовал в качестве сборщика?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q5","Приходилось ли конфигурировать сборщик?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q6","Был ли опыт с SSR?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q7","Что будет выведено в консоль при выполнении кода: console.log(1); setTimeout(() => console.log(2), 0); console.log(3);?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q8","Что будет выведено в консоль и как изменится длина массива после выполнения кода: const arr = [1, 2, 3]; arr[10] = 10; console.log(arr.length);?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q9","Что будет выведено в консоль после выполнения кода: const obj1 = { a: 1 }; const obj2 = obj1; obj2.a = 2; console.log(obj1.a);?","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q10","Объясните работу метода getValue в объекте с полем value и функцией getValue, возвращающей this.value.","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q11","Поясните плюсы, минусы и назначение мемоизации, а также возможные подводные камни на примере функции memoize, реализующей кеширование результатов вызова функции.","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q12","Реализовать функцию sortedCities, которая принимает массив объектов городов с полями id и name, сортирует города по названию и группирует их по первой букве названия, возвращая объект, где ключи — первые буквы, а значения — отсортированные массивы городов.","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q13","Реализовать React-компонент App, который использует функцию sortedCities для получения сгруппированных и отсортированных данных городов, и отображает их в виде списка с заголовками по первой букве и списками городов с уникальными ключами.","Лига Цифровой Экономики","2025-06-23","interview_Лига_Цифровой_Экономики_001"
"q1","Что такое event-loop","Лига Цифровой Экономики","2025-02-01","interview_Лига_Цифровой_Экономики_002"
"q2","Что такое замыкания","Лига Цифровой Экономики","2025-02-01","interview_Лига_Цифровой_Экономики_002"
"q1","Как работали?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q2","Как были настроены процессы? Опиши детально","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q3","Как работал ci/cd?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q4","Что использовали в качестве контролера версий?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q5","Опиши детально процесс выкатки фичи","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q6","Как использовали nginx? Использовали ли?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q7","Расскажи про React, как работает, в чем плюсы и минусы?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q8","Что будет если добавить key не в map, а просто? Что будет происходить?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q9","Расскажи про алгоритмы, уровни сложности алгоритмов","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q10","Задача: расскажи рассуждения как бы искал рандомное число по массиву из 100 элементов","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q11","Как React помогает предотвратить XSS атаки?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q12","Что такое CORS? Расскажи про OPTIONS запросы и что такое CSP","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q13","Какие паттерны использовали на проекте?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q14","Какие лучшие практики построения приложения применяли на работе?","Лига Цифровой Экономики","2024-09-04","interview_Лига_Цифровой_Экономики_004"
"q1","Дана строка, например 'some string dsadasd', нужно развернуть каждое слово","Лига Цифровой Экономики","2024-06-05","interview_Лига_Цифровой_Экономики_005"
"q2","Объясните порядок вывода в консоль для кода с setTimeout, Promise и console.log, где выводится: 'Создание промиса', 'Конец скрипта', 'Обработка промиса', 'Таймаут'","Лига Цифровой Экономики","2024-06-05","interview_Лига_Цифровой_Экономики_005"
"q3","Задача на замыкание: объяснить поведение функции outerFunc, которая возвращает innerFunc, использующую переменные globalVar, outerParam и innerParam, и показать результат вызова x('Stanley') после изменения outerVar и globalVar","Лига Цифровой Экономики","2024-06-05","interview_Лига_Цифровой_Экономики_005"
"q4","event-loop","Лига Цифровой Экономики","2024-06-05","interview_Лига_Цифровой_Экономики_005"
"q1","Написать промис","Лига Цифровой Экономики","2024-06-03","interview_Лига_Цифровой_Экономики_006"
"q2","Реализовать промис с использованием async/await","Лига Цифровой Экономики","2024-06-03","interview_Лига_Цифровой_Экономики_006"
"q3","Реализовать функцию withTimeout(promise, timeout), которая возвращает промис, отклоняющийся с ошибкой при превышении таймаута","Лига Цифровой Экономики","2024-06-03","interview_Лига_Цифровой_Экономики_006"
"q4","Реализовать React-компонент с двумя полями ввода для рублей и долларов с логикой конвертации валют в обе стороны по фиксированному курсу","Лига Цифровой Экономики","2024-06-03","interview_Лига_Цифровой_Экономики_006"
"q5","Дан массив строк, содержащих буквы и цифры. Нужно перевернуть массив, перевернуть каждый элемент, собрать строку только из букв и строку только из цифр","Лига Цифровой Экономики","2024-06-03","interview_Лига_Цифровой_Экономики_006"
"q1","Что такое async await","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q2","Что такое замыкание","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q3","Как оптимизировать приложение с учетом метрик FCP, LCP, CLS и других","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q4","Какие инструменты для анализа производительности используешь (lighthouse, performance, network и т.д.)","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q5","Что такое реактивность данных и как она устроена во Vue3","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q6","Что такое виртуальный DOM","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q7","Какие есть хранилища в браузере, в чем их отличия и предназначения","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q8","Что такое и для чего нужны WebRTC и WebSocket","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q9","Для чего нужен TypeScript","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q1","Дана строка 'some string', нужно развернуть каждое слово в строке","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
"q2","Задача на контекст: определить, что будет выведено в консоли при выполнении данного кода","Лига Цифровой Экономики","2024-04-25","interview_Лига_Цифровой_Экономики_007"
