"id","question_text","company","date","interview_id"
"q1","С чем нравится больше работать, а с чем нет, какие задачи напрягают?","BI.Zone","2025-02-10","interview_BI.Zone_000"
"q2","Как планируешь расти в разработке или в тимлида?","BI.Zone","2025-02-10","interview_BI.Zone_000"
"q3","Расскажи о последних интересных и трудных задачах, которые тебе запомнились","BI.Zone","2025-02-10","interview_BI.Zone_000"
"q1","событийный цикл","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q2","IntersectionObserver для чего","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q3","SOLID","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q4","отличие React vs Vue vs Angular","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q5","key зачем в React","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q6","способы копирования объектов в JavaScript","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q7","отличие HTTP/1.1 vs HTTP/2","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q8","отличие батчинга в React 17 от React 18","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q9","назови псевдоклассы и псевдоэлементы в CSS","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q10","чем отличается focus от focus-visible","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q11","что такое focus-within","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q12","зачем нужны псевдоэлементы в CSS","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q13","реализовать lazy-loading на JavaScript","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q14","3 задачи на React","BI.Zone","2025-02-08","interview_BI.Zone_001"
"q1","Объясните понятие байдинга в JavaScript","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q2","Что такое webpack и как он используется в сборке проектов","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q3","Что такое плагины в контексте webpack и как их использовать","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q4","Объясните назначение и работу eslint","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q5","Что такое parsel и для чего он применяется","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q6","Что такое vite и в чем его преимущества","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q7","Что такое tsc и как он используется в TypeScript проектах","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q8","Объясните принцип работы MutationObserver","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q9","Что такое XSS и как защититься от этой уязвимости","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q10","В чем разница между лямбда-функцией и стрелочной функцией в JavaScript","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q11","Объясните принципы SOLID и их применение в разработке","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q12","Что такое микрофронтенд и как его реализовать","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q13","Что делает метод componentDidCatch в React","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q14","Сравните Angular, Vue и React по основным характеристикам","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q15","Как организовать логирование в веб-приложении","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q16","Отрефакторить данный React-компонент Posts с использованием хуков useEffect, useMemo и Redux","BI.Zone","2024-12-11","interview_BI.Zone_002"
"q1","Расскажи про опыт работы","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q2","Как пришла идея сторибука, почему и зачем он нужен?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q3","Где тебе понадобился виртуальный список, что это такое и почему?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q4","Как делал подгрузку данных пачками в списке? Пагинацией или как?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q5","Что лучше: написать свое решение или использовать готовую библиотеку? Когда использовать свое, а когда готовую?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q6","Как бы ты делал аутентификацию, если бы тебе сказали делать на новом продукте?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q7","Куда бы клал токены — в заголовки (headers) или в куки?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q8","Сталкивался ли или думал ли о XSS атаках? Что делал? В каком случае возникало?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q9","Будет ли XSS атака, если в инпут ввести какой-то скрипт?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q10","Расскажи про Content Security Policy (CSP), как он работает?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q11","Приходилось ли делать микрофронтенды? Понравилось ли?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q12","Вышел на работу, получил репозиторий продукта, что будешь делать дальше?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q13","Как ты декомпозируешь задачу, до какого уровня? Например, если нужно сделать новую страницу со списком атак, как бы разбил задачу на подзадачи?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q14","Есть ли у тебя какие-то активности для обучения и развития? Что ты предпринимаешь для этого, что смотришь или слушаешь?","BI.Zone","2024-05-26","interview_BI.Zone_003"
"q15","Что ты делаешь для души, когда устаешь кодить? Или ты не устаешь кодить?","BI.Zone","2024-05-26","interview_BI.Zone_003"
