"id","question_text","company","date","interview_id"
"q1","Что выведется в консоль при сравнении [] == [] и ![] == ![] и ![] !== ![]?","Синхро","2025-03-09","interview_Синхро_000"
"q2","Объясните разницу между var, let и const","Синхро","2025-03-09","interview_Синхро_000"
"q3","Что такое prototype в JavaScript и как он работает?","Синхро","2025-03-09","interview_Синхро_000"
"q4","Объясните различия между Omit, Pick и Partial в TypeScript","Синхро","2025-03-09","interview_Синхро_000"
"q5","Что такое перегрузка функции и как она реализуется в TypeScript?","Синхро","2025-03-09","interview_Синхро_000"
"q6","Объясните контекст в React и как он используется","Синхро","2025-03-09","interview_Синхро_000"
"q7","Как реализовать ограничение на компонент ErrorBoundary в React?","Синхро","2025-03-09","interview_Синхро_000"
"q8","Объясните основы протокола HTTP","Синхро","2025-03-09","interview_Синхро_000"
"q9","В чем разница между cookie, localStorage и sessionStorage?","Синхро","2025-03-09","interview_Синхро_000"
"q10","Что такое HttpOnly и для чего используется этот флаг в cookie?","Синхро","2025-03-09","interview_Синхро_000"
