"id","question_text","company","date","interview_id"
"q1","Что происходит когда вводить url","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q2","Eventloop","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q3","this","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q4","Как внутри DOM ведет себя this","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q5","Рассказать про утечку памяти","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q6","Разница между SSR, SSG, ISR","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q7","Рассказать про SEO, как можно повлиять","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q8","Что такое рекурсия","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q1","Реализовать функцию reduce с рекурсией, которая принимает callback, начальное значение и массив, и возвращает результат свертки массива","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q2","Реализовать функцию sumOfSquares, которая с помощью reduce вычисляет сумму квадратов элементов массива","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q3","Реализовать класс Subscription с методами subscribe, unsubscribe и next, поддерживающий строгую типизацию и позволяющий подписываться на события, отписываться и рассылать значения подписчикам","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
"q4","Реализовать React-классовый компонент UserContainer, который загружает и обновляет данные пользователя через класс Api, отображает компоненты Loader, Error или UserCard в зависимости от состояния, и вызывает функцию unmount из props в соответствующем методе жизненного цикла","Фалт Системс","2025-07-02","interview_Фалт_Системс_000"
