"id","question_text","company","date","interview_id"
"q1","Что такое Solid","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q2","Паттерны проектирования","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q3","EventLoop: что это, для чего и как работает","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q4","Promise","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q5","async await","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q6","Что будет если сравнить { a: 1} === { a: 1}","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q7","Оператор in","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q8","Как сделать копию объекта","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q9","Что такое Prototype","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q10","Что будет на самом низу Prototype","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q11","Какие Utility types знаете","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q12","Как работает Omit","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q13","Что такое Generic","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q14","Как работают декораторы","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q15","Что такое keyof и typeof","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q16","Какие хуки знаете","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q17","Отличие useEffect от useLayoutEffect","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q18","Мемоизация","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q19","Отличие useCallback от useMemo","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q20","Какие GIT команды знаете","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q21","Отличие merge от rebase","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q22","Чем свойство translate отличается от translate3D","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
"q23","Какими свойствами лучше создавать анимацию и почему","Soft Media Group","2025-01-31","interview_Soft_Media_Group_000"
