"id","question_text","company","date","interview_id"
"q1","Что будет в консоли при выполнении кода: const res = parseInt('3*9', 10); console.log(res);","Легкорем","2024-09-23","interview_Легкорем_000"
"q2","Что выведет консоль при выполнении кода: const f=function g(){ return 23 } console.log(typeof g())","Легкорем","2024-09-23","interview_Легкорем_000"
"q3","Что происходит при выполнении самовызывающейся функции с внутренними функциями с одинаковым именем: (function f() { function f() { return 1 } return f() function f() { return 2 } })()","Легкорем","2024-09-23","interview_Легкорем_000"
"q4","Правда ли, что два массива с одинаковыми элементами равны при сравнении a = b, где a = [1,2,3], b = [1,2,3]","Легкорем","2024-09-23","interview_Легкорем_000"
"q5","Какова длина массива a после выполнения операций: let a =[]; a[1]=5; a[3]=53; delete a[3]; console.log(a.length)","Легкорем","2024-09-23","interview_Легкорем_000"
"q6","Что такое реквизиты в React?","Легкорем","2024-09-23","interview_Легкорем_000"
"q7","Для чего используется useMemo в React?","Легкорем","2024-09-23","interview_Легкорем_000"
"q8","Как очистить ресурсы в функциональном компоненте React?","Легкорем","2024-09-23","interview_Легкорем_000"
"q9","Как реализовать асинхронную (ленивую) загрузку redux редьюсеров?","Легкорем","2024-09-23","interview_Легкорем_000"
"q10","Что означает HTTP статус 302 при ответе сервера?","Легкорем","2024-09-23","interview_Легкорем_000"
"q11","Какие мутабельные методы массива вы знаете?","Легкорем","2024-09-23","interview_Легкорем_000"
"q12","Что такое atomic design?","Легкорем","2024-09-23","interview_Легкорем_000"
"q13","Отсортировать указанный массив имён по убыванию","Легкорем","2024-09-23","interview_Легкорем_000"
"q1","Что такое event-loop","Легкорем","2024-09-17","interview_Легкорем_001"
"q2","Что такое замыкания","Легкорем","2024-09-17","interview_Легкорем_001"
"q1","Что выведет консоль при выполнении кода: const result = parseInt('3*9', 10); console.log(result);","Легкорем","2024-08-30","interview_Легкорем_002"
"q2","Что будет в консоли при выполнении кода: const f = function g() { return 23 }; console.log(g());","Легкорем","2024-08-30","interview_Легкорем_002"
"q3","Вывести oldestUser из массива пользователей с помощью метода reduce","Легкорем","2024-08-30","interview_Легкорем_002"
"q4","Подсчитать средний возраст пользователей в массиве с помощью функции calculateAverageAge","Легкорем","2024-08-30","interview_Легкорем_002"
"q5","Что будет с типом при использовании TypeScript utility типов omit и pick","Легкорем","2024-08-30","interview_Легкорем_002"
"q6","Как очистить компонент при размонтировании в React","Легкорем","2024-08-30","interview_Легкорем_002"
"q7","Как настроить асинхронную (ленивую) подгрузку редьюсеров в Redux","Легкорем","2024-08-30","interview_Легкорем_002"
"q8","Как автогенерировать типы TypeScript для данных, получаемых с бэка","Легкорем","2024-08-30","interview_Легкорем_002"
