"id","question_text","company","date","interview_id"
"q1","Как обрабатывается веб-страница браузером и что такое критический путь рендеринга (CRP)?","Right Line","2024-07-01","interview_Right_Line_000"
"q2","Как работает Event Loop?","Right Line","2024-07-01","interview_Right_Line_000"
"q3","Рассказать про Redux","Right Line","2024-07-01","interview_Right_Line_000"
"q4","Опишите жизненный цикл useState","Right Line","2024-07-01","interview_Right_Line_000"
"q5","Какой жизненный цикл у Redux и когда мы можем потерять данные из него?","Right Line","2024-07-01","interview_Right_Line_000"
"q6","Какие существуют возможности для перманентного хранения данных на фронте помимо стейта в Redux? Опишите localStorage, SessionStorage и Cookie","Right Line","2024-07-01","interview_Right_Line_000"
"q7","Расскажите про CSS, препроцессоры и различные подходы к стилизации, включая CSS-in-JS. С чем работали, плюсы и минусы","Right Line","2024-07-01","interview_Right_Line_000"
"q8","Что выведет в консоль следующий код: const [name, setName] = useState('name'); setName('abc'); console.log(name);","Right Line","2024-07-01","interview_Right_Line_000"
"q9","Напишите функцию, которая принимает массив объектов со странами, городами и населением этих городов и возвращает топ три города по населению для каждой страны","Right Line","2024-07-01","interview_Right_Line_000"
"q1","Что такое css препроцессоры и зачем нужны, привести юзкейс с переменными","Right Line","2024-06-28","interview_Right_Line_001"
"q2","Что такое селекторы, расскажи про специфичность","Right Line","2024-06-28","interview_Right_Line_001"
"q3","Что такое селектор по атрибуту","Right Line","2024-06-28","interview_Right_Line_001"
"q4","Назови псевдоклассы и псевдо-селекторы","Right Line","2024-06-28","interview_Right_Line_001"
"q5","Что такое Z-INDEX и контекст наложения","Right Line","2024-06-28","interview_Right_Line_001"
"q6","Расскажи как работает Event Loop, если в очередь макрозадач попадет тяжеловесная задача, что будет? Если будет тяжелый расчет в макрозадаче, как не блокировать поток?","Right Line","2024-06-28","interview_Right_Line_001"
"q7","Как отправить задачу в очередь макрозадач?","Right Line","2024-06-28","interview_Right_Line_001"
"q8","Типы данных в JS, в чем разница примитивов и объектов","Right Line","2024-06-28","interview_Right_Line_001"
"q9","Как работает прототипное наследование (автобоксинг)","Right Line","2024-06-28","interview_Right_Line_001"
"q10","Как работает сборка мусора в JS (Garbage Collector)","Right Line","2024-06-28","interview_Right_Line_001"
"q11","Что такое замыкание и как можно его использовать","Right Line","2024-06-28","interview_Right_Line_001"
"q12","Пример как можно использовать прототипы в разработке","Right Line","2024-06-28","interview_Right_Line_001"
"q13","Какие методы оптимизации знаешь, приведи примеры применения практик оптимизации, например использование useCallback","Right Line","2024-06-28","interview_Right_Line_001"
"q14","Как отследить до билда оптимизацию удаления лишнего кода","Right Line","2024-06-28","interview_Right_Line_001"
"q15","Для чего нужны стейт-менеджеры","Right Line","2024-06-28","interview_Right_Line_001"
"q16","Расскажи про плюсы и минусы FSD","Right Line","2024-06-28","interview_Right_Line_001"
"q17","Что такое prop KEY и для чего нужен, что будет если сделать рандомный ключ","Right Line","2024-06-28","interview_Right_Line_001"
"q18","Если на каждом ререндере создавать уникальный KEY - это хорошо?","Right Line","2024-06-28","interview_Right_Line_001"
"q19","Жизненный цикл компонента в React","Right Line","2024-06-28","interview_Right_Line_001"
"q20","В чем разница между обновлением и размонтированием компонента, какие особенности с точки зрения перформанса","Right Line","2024-06-28","interview_Right_Line_001"
"q21","Что такое Виртуал ДОМ и как он помогает нам","Right Line","2024-06-28","interview_Right_Line_001"
"q22","Расскажи про Utility Types, какие знаешь и что они делают","Right Line","2024-06-28","interview_Right_Line_001"
"q23","Расскажи про Дженерики (extends)","Right Line","2024-06-28","interview_Right_Line_001"
"q24","Отличия any и unknown в TypeScript","Right Line","2024-06-28","interview_Right_Line_001"
"q1","Рефакторинг React-компонента App с исправлением управления состоянием массива сотрудников и корректным использованием ключей в списках","Right Line","2024-06-28","interview_Right_Line_001"
