"id","question_text","company","date","interview_id"
"q1","Кодить это инженерная или творческая работа","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q2","Принципы KISS, DRY, YAGNI","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q3","Расшифровать SOLID","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q4","Какие хуки чаще всего использовал и расскажи про них","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q5","Как отловить ошибки","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q6","Как реализовать отмену запроса при размонтировании компонента","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q7","Использовал ли тесты и какие","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q8","Что такое HOC (Higher-Order Component)","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q9","Что такое Portal и зачем он нужен","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q10","JS однопоточный или многопоточный и как добиться многопоточности","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q11","Event-loop и WebWorkers","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q1","Сделать сортировку на кнопке по возрастанию и убыванию массива имен","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
"q2","Реализовать функцию debounce","Ренессанс Страхование","2024-10-18","interview_Ренессанс_Страхование_000"
