"id","question_text","company","date","interview_id"
"q1","Про работу с сервером (HTTP/WebSocket)","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q2","Объясните устройство тела HTTP запроса","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q3","Объясните разницу между авторизацией и аутентификацией","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q4","Что такое CORS и зачем он нужен","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q5","Объясните основные принципы ООП","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q6","Объясните прототипное наследование в JavaScript","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q7","В чем отличие hasOwnProperty от оператора in","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q8","В чем отличие arrow function от function declaration","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q9","Почему typeof Array возвращает 'object' и как проверить, что это массив","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q10","Как работает async/await","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q11","Что такое Promise","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q12","В чем отличие типов any и unknown в TypeScript","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q13","Какие бывают свойства display в CSS","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q14","Какие бывают селекторы в CSS","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q15","Объясните специфичность селекторов в CSS","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q16","Зачем нужен Tailwind CSS","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q17","Какие бывают бандлеры и зачем они нужны","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q18","Зачем нужен key в React","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q19","Что такое реляционная модель данных","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q20","Объясните команды git reset, git rebase и squash","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q21","Работали ли вы с Node.js","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q22","Работали ли вы с Linux","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
"q23","Какая у вас IDE","Онлайн Решения","2025-05-22","interview_Онлайн_Решения_000"
