"id","question_text","company","date","interview_id"
"q1","Расскажи про опыт","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q2","Объясните разницу между var, let и const","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q3","Объясните разницу между Cookie, LocalStorage и SessionStorage","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q4","Что такое callback hell, promise и async/await","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q5","Какие существуют статические методы у Promise","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q6","Что такое хуки в React","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q7","Что выведет метод массива в зависимости от того, какая функция используется: стрелочная или function declaration","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q8","Дан массив с повторяющимися цифрами. Нужно получить объект, где ключ — значение из массива, а значение — количество повторений","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q9","Сделать условный ToDo-лист на React с возможностью редактирования, удаления и переключения режима редактирования пользователя","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
"q10","Реализовать загрузку данных с использованием Promise.all для параллельного получения userData и postData с последующим обновлением состояния в React","Algorithmic Brains","2024-07-12","interview_Algorithmic_Brains_000"
