"id","question_text","company","date","interview_id"
"q1","Над какой комплексной задачей работал","Омнитек","2024-06-17","interview_Омнитек_000"
"q2","Какие проблемы были при работе над проектом","Омнитек","2024-06-17","interview_Омнитек_000"
"q3","Объясните минусы локалсторадж и разницу между локалсторадж и IndexedDB","Омнитек","2024-06-17","interview_Омнитек_000"
"q4","Какие UI компоненты вы верстали","Омнитек","2024-06-17","interview_Омнитек_000"
"q5","Где хранятся объекты в JavaScript, что из себя представляют, и как оптимизировать накладные расходы на ключи","Омнитек","2024-06-17","interview_Омнитек_000"
"q6","Минусы хуков в React, почему их ввели, почему перешли на них, и причины важности порядка хуков","Омнитек","2024-06-17","interview_Омнитек_000"
"q7","Плюсы и минусы Webpack и Vite, в чем особенности Vite","Омнитек","2024-06-17","interview_Омнитек_000"
"q8","Разница между ES Modules и require, как они работают, и как с этим связан Vite","Омнитек","2024-06-17","interview_Омнитек_000"
"q9","Отличия абстрактного класса от интерфейса в TypeScript","Омнитек","2024-06-17","interview_Омнитек_000"
"q10","Что такое декораторы","Омнитек","2024-06-17","interview_Омнитек_000"
"q11","Опишите логику связи пользователь - сервер, что происходит после отправки запроса","Омнитек","2024-06-17","interview_Омнитек_000"
