"interview_id","company","source","type","text","date","time","salary_range","level","duration","topics","complexity","question_number","sender"
"Яндекс_2025-07-18_1_0_0_b5a27f58","Яндекс","json","task","Условий не сохранилось, но задачка была на то, что будет в консоле при обработке Promise Ответы: В 4 строку вообще не зайдем. 5 строка будет ответ 2 8 строка undefined на 7 строку не попадем --- Задача 2: Задача на замыкание function runOnce(fn) { let isCalled = false return function(...args) { if(isCalled) return undefined isCalled = true return fn(...args) } } Задача 3: Array.prototype.groupBy = function (fn) { return this.reduce((result, item) => { const key = fn(item) // Вычисляем ключ для текущего элемента if (!result[key]) { // Если такого ключа ещё нет в объекте result[key] = [] // Создаём пустой массив для этого ключа } result[key].push(item) // Добавляем элемент в соответствующую группу return result }, () // Начинаем с пустого объекта Задача 4: function get(url, retry = 5) { return fetch(url).then(res => res.json()).catch(err=> { if (retry > 0) { const newRetry = retry - 1; return get(url, newRe","2025-07-18","10:25:52","","","","","","1","Daniil Daniil"
"Яндекс_2025-07-18_1_0_1_bdc8b1e4","Яндекс","json","code","function runOnce(fn) { let isCalled = false return function(...args) { if(isCalled) return undefined isCalled = true return fn(...args) }","2025-07-18","10:25:52","","","","","","","Daniil Daniil"
"Яндекс_2025-07-18_1_0_2_64eddf48","Яндекс","json","code","function get(url, retry = 5) { return fetch(url).then(res => res.json()).catch(err=> { if (retry > 0) { const newRetry = retry - 1; return get(url, newRetry) }","2025-07-18","10:25:52","","","","","","","Daniil Daniil"
"Яндекс_2025-07-18_1_0_3_d010b1b4","Яндекс","json","code","const key = fn(item) // Вычисляем ключ для текущего элемента","2025-07-18","10:25:52","","","","","","","Daniil Daniil"
"Яндекс_2025-07-18_1_0_4_e870b463","Яндекс","json","code","function get(url, retry = 5) { return fetch(url).then(res => res.json()).catch(err=> { if (retry > 0) { const newRetry = retry - 1; return get(url, newRetry) } else { throw new Error('Заданный URL недоступен') } }) }","2025-07-18","10:25:52","","","","","","","Daniil Daniil"
"Яндекс_2025-07-17_1_1_0_50ac437a","Яндекс","json","task","Необходимо написать функцию, которая на вход принимает url и retry, асинхронно ходит по этому урлу GET запросом и возвращает данные (json). Для получения данных использовать fetch. можно использовать только Promise API. Если во время запроса произошла ошибка, то пробовать запросить ещё 5 раз. Если в итоге информацию получить не удалось, вернуть ошибку ""Заданный URL недоступен"". function get(url, retry = 5) { return fetch(url) .then(res => res.json()) .catch(err => { if (retry > 0) { return get(url, retry - 1) } else { throw new Error('Заданный URL недоступен') } }) } Задача 2 Реализовать функцию compose, которая принимает переменное количество функций и возвращает новую функцию. Результат работы каждой функции передаетсяв следующую. function compose(...callbacks) { return function (...args) { const res = callbacks.reduceRight((acc, fn) => [fn(...args)], args);","2025-07-17","20:49:57","","","","","","1","Даниил"
"Яндекс_2025-07-17_1_1_1_74d6a69f","Яндекс","json","code","function get(url, retry = 5) { return fetch(url) .then(res => res.json()) .catch(err => { if (retry > 0) { return get(url, retry - 1) }","2025-07-17","20:49:57","","","","","","","Даниил"
"Яндекс_2025-07-17_1_1_2_7a04fe10","Яндекс","json","code","function compose(...callbacks) { return function (...args) { const res = callbacks.reduceRight((acc, fn) => [fn(...args)], args); return res[0]; }","2025-07-17","20:49:57","","","","","","","Даниил"
"Яндекс_2025-07-17_1_1_3_965e917b","Яндекс","json","code","function isMonotonic(numbers) { let direction = 0; for (let i = 1; i < numbers.length; i++) { const diff = numbers[i] - numbers[i - 1]; if (diff === 0) continue; if (direction === 0) { direction = diff > 0 ? 1 : -1; }","2025-07-17","20:49:57","","","","","","","Даниил"
"Яндекс_2025-07-17_1_1_4_70202a5a","Яндекс","json","code","function get(url, retry = 5) { return fetch(url) .then(res => res.json()) .catch(err => { if (retry > 0) { return get(url, retry - 1) } else { throw new Error('Заданный URL недоступен') } }) }","2025-07-17","20:49:57","","","","","","","Даниил"
