"id","question_text","company","date","interview_id"
"q1","Знаком ли с таким атрибутом contentEditable? Для чего он нужен?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q2","Для чего нужны CSS переменные и приведи парочку примеров как использовать","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q3","Чем отличается команда git merge от git rebase?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q4","Какие доводилось писать тесты? И какие библиотеки использовал","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q5","В чем разница между null и undefined?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q6","Как можно проверить наличие свойства в объекте?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q7","Что такое прототипы?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q8","Какие знаешь самые актуальные методы массива?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q9","Рассказать про reduce подробно","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q10","Рассказать максимально подробно про useEffect","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q11","Реализуйте функцию, которая возвращает объект с ключами type из массива, а значением является массив элементов с таким type","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q12","Реализуйте функцию, которая возвращает объект с ключами type, а значением является объект вида {count: количество, weight: суммарный вес} для элементов с таким type","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q13","Реализуйте функцию sum, которая поддерживает вызовы с цепочкой аргументов и возвращает сумму всех переданных чисел при вызове без аргументов, например sum() вернет 0, sum(1)() вернет 1, sum(2)(3)() вернет 5, sum(10)(7)(41)() вернет 58","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q14","Определите порядок вывода в консоль для следующего кода с setTimeout и Promise: setTimeout с задержкой 0, Promise с resolve и then, а также несколько console.log","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q15","Будет ли ререндериться компонент OtherFc в React при использовании useState и useEffect в родительском компоненте MainFc с setInterval, который обновляет состояние каждую секунду?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q16","Что не так в следующем React коде с useEffect и useState, и как можно оптимизировать этот код, учитывая, что useEffect зависит от объекта rest, который создается при деструктуризации пропсов?","Киберлаб","2024-08-16","interview_Киберлаб_000"
"q1","event-loop","Киберлаб","2024-03-27","interview_Киберлаб_001"
"q2","Что такое замыкания","Киберлаб","2024-03-27","interview_Киберлаб_001"
