"id","question_text","company","date","interview_id"
"q1","Написать функцию sostavChisla(massivChisel: number[], chislo: number), которая находит все возможные уникальные комбинации чисел из massivChisel, сумма которых равна chislo, при условии, что massivChisel содержит только уникальные положительные числа, в комбинации не должно быть повторений чисел, все комбинации должны быть уникальными","Linked Helper","2025-05-09","interview_Linked_Helper_000"
"q2","Задача на SQL: написать запрос для выборки хорошо оплачиваемых сотрудников","Linked Helper","2025-05-09","interview_Linked_Helper_000"
"q1","Что выведет в консоль при выполнении функции process с вложенной функцией updateProfile, изменяющей объект person?","Linked Helper","2025-02-06","interview_Linked_Helper_001"
"q2","Что выведет в консоль при вызове функций group[0]() и group[5]() из массива функций, созданных в цикле с переменной i?","Linked Helper","2025-02-06","interview_Linked_Helper_001"
"q3","Что выведет в консоль самовызывающаяся функция с Promise.reject(), цепочками then и catch?","Linked Helper","2025-02-06","interview_Linked_Helper_001"
"q4","Что выведет в консоль React-компонент Example с useState и useEffect, где в setInterval вызывается setCount(count + 1) с пустым массивом зависимостей?","Linked Helper","2025-02-06","interview_Linked_Helper_001"
"q5","Что выведет в консоль React-компонент Example с useState и useEffect, где useEffect зависит от flag, который устанавливается в true внутри useEffect?","Linked Helper","2025-02-06","interview_Linked_Helper_001"
"q6","Написать функцию sostavChisla(massivChisel: number[], chislo: number), которая находит все уникальные комбинации чисел из massivChisel, сумма которых равна chislo, при условии что massivChisel содержит уникальные положительные числа, в комбинациях нет повторений чисел, и все комбинации уникальны.","Linked Helper","2025-02-06","interview_Linked_Helper_001"
"q1","Написать функцию sostavChisla(massivChisel: number[], chislo: number), которая находит все возможные уникальные комбинации чисел из massivChisel, сумма которых равна chislo, при условии что massivChisel содержит только уникальные положительные числа, в комбинации не должно быть повторений чисел, все комбинации должны быть уникальными","Linked Helper","2025-02-04","interview_Linked_Helper_002"
"q1","Реализуйте функцию debounce с настраиваемой задержкой","Linked Helper","2024-12-03","interview_Linked_Helper_003"
"q2","Определите, что выводится в консоль при обработке асинхронного кода с использованием Promise","Linked Helper","2024-12-03","interview_Linked_Helper_003"
"q3","Напишите функцию runOnce, которая выполняется только один раз с использованием замыканий","Linked Helper","2024-12-03","interview_Linked_Helper_003"
"q4","Объясните, что такое event-loop","Linked Helper","2024-12-03","interview_Linked_Helper_003"
"q5","Реализуйте функцию getRoute, которая возвращает маршрут по заданным параметрам","Linked Helper","2024-12-03","interview_Linked_Helper_003"
