"id","question_text","company","date","interview_id"
"q1","Разница SSR SSG CSR","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q2","Что такое методология BFF","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q3","Что такое getStaticProps и getServerSideProps","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q4","В каких случаях использовать SSR, SSG и CSR","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q5","Объясните работу react-query и RTK-query, включая инвалидацию, кэширование и параметры","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q6","Что такое отложенный рендеринг в React (lazy, suspense)","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q7","Плюсы и минусы мутабельных и имутабельных данных","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q8","Зачем нужен TypeScript и как он помогает","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q9","Что такое type guard и type assertion в TypeScript","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q10","Объясните union type и intersection type в TypeScript","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q11","Что делает Object.freeze и как его использовать","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q12","Что такое unit тесты и зачем они нужны","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q13","Чем отличаются snapshot тесты от screenshot тестов","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q14","Объясните команды git rebase и cherry-pick","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q15","Что такое module auditor в npm и для чего он используется","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q16","Как поднять Docker образ","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q17","Какие есть подходы к оптимизации загрузки JS и CSS","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q18","Какие существуют подходы к кроссбраузерной верстке","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q19","Работали ли вы с Figma","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q20","На чем делали вебсокеты","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q21","Работали ли вы с GraphQL","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q22","Работали ли вы с Node.js","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q23","Что такое монорепа, какие плюсы и минусы, нравится ли вам работать с ней","Айкон Про","2025-05-09","interview_Айкон_Про_000"
"q24","Что такое микрофронтенды, работали ли вы с ними, плюсы и минусы","Айкон Про","2025-05-09","interview_Айкон_Про_000"
