"id","question_text","company","date","interview_id"
"q1","Был ли опыт с бекендом и есть ли желание работать с Node.js и BFF?","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q2","Расскажите про сокеты и их использование","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q3","Объясните обработку ошибок, включая error boundary, Sentry и логеры","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q4","Расскажите про утечки памяти, методы клинапа, замыкания и обнуление ссылок на DOM-ноды","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q5","TS vs JS: комфортно ли работать без TypeScript?","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q6","Как вы относитесь к legacy-коду и что для вас означает legacy?","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q7","Что такое технический долг и как с ним работать?","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q8","Какие планы на будущее в профессиональном развитии?","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q9","Какие вещи вы не хотите видеть в новой команде?","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q10","Расскажите про работу с девтулз, включая Lighthouse и анализ производительности","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q11","Секция вопросов к команде","Kaspersky","2025-07-03","interview_Kaspersky_000"
"q1","Задача на стилизацию. Работая в файле css расположить блоки div.container с вложенными div.gray, div.blue, div.red как на образце с использованием flex или grid","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q2","На той же разметке реализовать js, чтобы при клике на блок логировался его цвет через event.target.classList[0]","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q3","Реализовать функцию query(data, fields, order), которая проверяет параметры, сортирует массив data функцией order и возвращает новый массив с объектами, содержащими только указанные в fields поля","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q4","Рефакторинг React компонента: исправить зависимости useEffect, убрать async в useEffect заменив на then().catch(), добавить ключи в список, поправить семантику ul li, завести стейт под ошибку, инициализировать useState пустым массивом","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q5","Написать функционал React: кнопка создает под собой элементы с уникальными числами, при клике по элементам они удаляются, используя useState для хранения массива уникальных чисел","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q6","Реализовать функцию flattenMap(obj), которая преобразует вложенный объект в плоский объект с ключами в формате 'parentKey/childKey', игнорируя null значения","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q7","Реализовать функцию getMaxSum(nums), которая возвращает максимальную сумму подмассива в массиве чисел (задача на максимальную сумму подмассива)","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q8","Реализовать асинхронную функцию asyncFilter(arr, fn), которая фильтрует массив arr с помощью асинхронной функции fn, возвращая элементы, для которых fn возвращает true","Kaspersky","2025-06-30","interview_Kaspersky_001"
"q1","Напишите функцию isEqual, которая сравнивает объекты любой структуры, содержащие примитивы, объекты и массивы, при этом порядок следования свойств не меняется","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q2","Отсортируйте нечетные числа в массиве так, чтобы четные числа остались на своих местах","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q3","Проведите review кода функции getFile, которая читает файл и возвращает промис с распарсенными данными, и перепишите её на ES6","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q4","Проведите review кода и объясните, как последовательно вызвать асинхронные функции друг за другом, используя for await цикл","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q5","Напишите код, с помощью которого при клике на прямоугольник будет выведен его цвет","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q6","Нарисуйте флаг с использованием CSS Grid","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q7","Напишите функцию add, которая принимает число и может вызываться бесконечное число раз, пока не будет вызвана без аргументов, тогда возвращается сумма переданных ранее чисел","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q8","Объясните, как генерировать исключение и как его обработать/перехватить в JavaScript","Kaspersky","2024-05-29","interview_Kaspersky_002"
"q9","Реализуйте функционал, при котором при каждом клике на кнопку Add появляется новая кнопка со случайным текстом (например цифровым id), а при клике на появившуюся кнопку она удаляется","Kaspersky","2024-05-29","interview_Kaspersky_002"
