"id","question_text","company","date","interview_id"
"q1","Подробно про опыт","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q2","Объясните ререндер компонентов","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q3","Когда лучше использовать стор, а когда контекст?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q4","Сравните Context и Redux","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q5","Объясните область видимости","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q6","Почему появились let и const?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q7","Зачем нужна область видимости?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q8","Что такое замыкание?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q9","Какие способы хранения данных в браузере вы знаете?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q10","Объясните приведение типов в JavaScript","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q11","Что будет при вычислении выражения 1 + \\1\\"" - 1?""","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q12","Расскажите про типизацию в JavaScript","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q13","Плюсы и минусы TypeScript","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q14","Что такое any в TypeScript?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q15","Объясните Generics в TypeScript","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q16","Как убрать или скрыть блок на странице?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q17","Сравните display: none и visibility: hidden","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q18","Объясните использование inline стилей","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q19","Что такое специфичность селектора в CSS?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q20","Как работает !important в CSS?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q21","Что такое семантика в веб-разработке?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q22","Реализуйте поиск на фронте","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q23","Реализуйте функцию debounce с настраиваемой задержкой","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q24","Объясните event-loop в JavaScript","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q25","Объясните работу Promise в JavaScript","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
"q26","Какие способы оптимизации фронтенда вы знаете?","Газпром Медиа","2025-04-03","interview_Газпром_Медиа_000"
