"id","question_text","company","date","interview_id"
"q1","Почему css > css in js","Polydev","2025-02-07","interview_Polydev_000"
"q2","Map Set","Polydev","2025-02-07","interview_Polydev_000"
"q3","FlexBox Grid","Polydev","2025-02-07","interview_Polydev_000"
"q4","intersection Observer Api","Polydev","2025-02-07","interview_Polydev_000"
"q5","Debounce vs Trottle","Polydev","2025-02-07","interview_Polydev_000"
"q6","localStorage","Polydev","2025-02-07","interview_Polydev_000"
"q7","BroadcastChannel","Polydev","2025-02-07","interview_Polydev_000"
"q8","TS omit partial pick","Polydev","2025-02-07","interview_Polydev_000"
"q9","any vs never vs unknown","Polydev","2025-02-07","interview_Polydev_000"
"q10","Return Type","Polydev","2025-02-07","interview_Polydev_000"
"q11","enum","Polydev","2025-02-07","interview_Polydev_000"
"q12","Какие state manager используешь","Polydev","2025-02-07","interview_Polydev_000"
"q13","Минусы redux","Polydev","2025-02-07","interview_Polydev_000"
"q14","VDom зачем нужен","Polydev","2025-02-07","interview_Polydev_000"
"q15","react suspense","Polydev","2025-02-07","interview_Polydev_000"
"q16","react Lazy","Polydev","2025-02-07","interview_Polydev_000"
"q17","require vs import","Polydev","2025-02-07","interview_Polydev_000"
"q18","react-hook-form, formik","Polydev","2025-02-07","interview_Polydev_000"
"q19","useEffect vs useLayoutEffect как будут рендериться в компонентах и в родителях","Polydev","2025-02-07","interview_Polydev_000"
"q20","key в React","Polydev","2025-02-07","interview_Polydev_000"
"q21","React.memo","Polydev","2025-02-07","interview_Polydev_000"
"q22","middleware для чего","Polydev","2025-02-07","interview_Polydev_000"
"q23","aggregate в MongoDB","Polydev","2025-02-07","interview_Polydev_000"
"q24","MongoDB","Polydev","2025-02-07","interview_Polydev_000"
"q1","Отрефакторить React-компонент с использованием хуков useState, useEffect, useCallback для инициализации счетчика, загрузки данных с API, обработки ошибок, и корректного использования ключей в списках","Polydev","2025-02-07","interview_Polydev_000"
