"id","question_text","company","date","interview_id"
"q1","Расскажи про себя + парочка вопросов по резюме","Сбер","2025-07-18","interview_Сбер_000"
"q2","Вижу в резюме что писал свой UI kit самописный или на чем то? Ant или MUI использовал?","Сбер","2025-07-18","interview_Сбер_000"
"q3","Вижу опыт с Effector, Redux и пр что можешь сказать по ним?","Сбер","2025-07-18","interview_Сбер_000"
"q4","Что используешь для кэширования? (useQuery, RTK Query)","Сбер","2025-07-18","interview_Сбер_000"
"q5","Вижу опыт с CSS-in-Js что скажешь? Как еще стили писал?","Сбер","2025-07-18","interview_Сбер_000"
"q6","Какие значения знаешь у display?","Сбер","2025-07-18","interview_Сбер_000"
"q7","rem vs em","Сбер","2025-07-18","interview_Сбер_000"
"q8","Как центрировать элемент по вертикали?","Сбер","2025-07-18","interview_Сбер_000"
"q9","Какие способы организации асинхронности знаешь в JS?","Сбер","2025-07-18","interview_Сбер_000"
"q10","Отличие type и interface","Сбер","2025-07-18","interview_Сбер_000"
"q11","Отличие enum и const enum + кейсы использования","Сбер","2025-07-18","interview_Сбер_000"
"q12","Что такое React? Плюсы?","Сбер","2025-07-18","interview_Сбер_000"
"q13","Способы оптимизации React-приложения?","Сбер","2025-07-18","interview_Сбер_000"
"q14","Для чего нужны ключи в React?","Сбер","2025-07-18","interview_Сбер_000"
"q15","merge или rebase юзаете?","Сбер","2025-07-18","interview_Сбер_000"
"q1","Проанализировать следующий код и определить типы переменных a и b после выполнения: (function() { var a = b = 3; })(); console.log(typeof a); console.log(typeof b);","Сбер","2025-07-18","interview_Сбер_000"
"q2","Объяснить поведение методов объекта с использованием стрелочной функции и обычной функции в контексте this: const obj = { i: 10, b: () => { console.log(this.i, this) }, c: function() { console.log(this.i, this) } }; вызовы obj.b() и obj.c()","Сбер","2025-07-18","interview_Сбер_000"
"q3","Реализовать функцию fibonacci(n), которая возвращает n-е число Фибоначчи с базовыми случаями f(1)=0, f(2)=1 и последующим вычислением через цикл","Сбер","2025-07-18","interview_Сбер_000"
"q1","Рассказать о проекте","Сбер","2025-07-16","interview_Сбер_001"
"q2","Какой был состав команды","Сбер","2025-07-16","interview_Сбер_001"
"q3","Как проводили код-ревью","Сбер","2025-07-16","interview_Сбер_001"
"q4","На какой грейд себя оцениваешь","Сбер","2025-07-16","interview_Сбер_001"
"q5","Почему увольняешься","Сбер","2025-07-16","interview_Сбер_001"
"q6","Методы копирования объектов","Сбер","2025-07-16","interview_Сбер_001"
"q7","Что выведет в консоль при выполнении кода с поверхностным копированием объекта и изменением вложенного свойства","Сбер","2025-07-16","interview_Сбер_001"
"q8","Что выведет в консоль при присваивании объекта другой переменной и последующем изменении первой переменной на новый объект","Сбер","2025-07-16","interview_Сбер_001"
"q9","Что выведет в консоль при выполнении цепочки промисов с setTimeout, then, catch и finally","Сбер","2025-07-16","interview_Сбер_001"
"q10","Написать тип someName и наиболее оптимальную проверку наличия ключа id в объекте pictures типа Record<ID, Picture>","Сбер","2025-07-16","interview_Сбер_001"
"q11","Написать функцию reverseString без использования arr.reverse, которая переворачивает строку","Сбер","2025-07-16","interview_Сбер_001"
"q12","Написать функцию reverseWords, которая переворачивает каждое слово в предложении, используя функцию reverseString","Сбер","2025-07-16","interview_Сбер_001"
"q1","Есть боль на проекте, 20 тыс объектов приходят, их нельзя разбить на части, они взаимосвязаны, загрузка долгая, что с этим делать?","Сбер","2025-07-16","interview_Сбер_002"
"q2","С чем бы хотел поработать?","Сбер","2025-07-16","interview_Сбер_002"
"q3","Есть ли офферы?","Сбер","2025-07-16","interview_Сбер_002"
"q4","На что ориентируешься при выборе оффера?","Сбер","2025-07-16","interview_Сбер_002"
"q1","Вводим url что происходит","Сбер","2025-07-14","interview_Сбер_003"
"q2","Если сайт находится на территории другой страны, помешает ли нам открыть страницу и как можно использовать DNS дружеских стран для доступа к сайту","Сбер","2025-07-14","interview_Сбер_003"
"q3","Рассказать про работу CORS","Сбер","2025-07-14","interview_Сбер_003"
"q4","Нравится ли заниматься версткой?","Сбер","2025-07-14","interview_Сбер_003"
"q5","Flex vs grid: когда что использовать","Сбер","2025-07-14","interview_Сбер_003"
"q6","Как сделать разную тему у сайта через чистый CSS","Сбер","2025-07-14","interview_Сбер_003"
"q7","Что находится внутри типа DependencyList = ReadonlyArray<unknown>","Сбер","2025-07-14","interview_Сбер_003"
"q8","Для чего нужны типы never и void в TypeScript","Сбер","2025-07-14","interview_Сбер_003"
"q9","Чем отличается стрелочная функция от обычной функции","Сбер","2025-07-14","interview_Сбер_003"
"q10","Что произойдет при вызове fn.bind(this1).bind(this2)?","Сбер","2025-07-14","interview_Сбер_003"
"q11","Что произойдет при вызове arrowFn.apply(this, [])?","Сбер","2025-07-14","interview_Сбер_003"
"q12","Какими способами можно сделать запрос к серверу","Сбер","2025-07-14","interview_Сбер_003"
"q13","Как можно отслеживать ошибки в промисах","Сбер","2025-07-14","interview_Сбер_003"
"q14","Как отработают then и catch в следующих цепочках: then().then().catch(), then.catch().then(), catch().then().then()","Сбер","2025-07-14","interview_Сбер_003"
"q15","Как отловить ошибку в async/await с помощью try/catch","Сбер","2025-07-14","interview_Сбер_003"
"q16","Если обернуть в блок try код из пункта 17, поймает ли catch из try/catch ошибку и почему","Сбер","2025-07-14","interview_Сбер_003"
"q17","Что такое чистая функция","Сбер","2025-07-14","interview_Сбер_003"
"q18","Является ли функция ()=>{a = 1; return 1} чистой, если a объявлена как let a = 1","Сбер","2025-07-14","interview_Сбер_003"
"q19","Кто быстрее отрендерит кнопку: React или ванильный JavaScript","Сбер","2025-07-14","interview_Сбер_003"
"q20","Для чего нужна мемоизация, какие методы мемоизации известны и что было сделано в React 19 для мемоизации","Сбер","2025-07-14","interview_Сбер_003"
"q1","Проанализировать поведение промиса: const p = new Promise(resolve => resolve('')); p.then(() => { p.then(() => console.log('A')); console.log('C'); }); p.then(() => console.log('B')); определить порядок вывода в консоль","Сбер","2025-07-14","interview_Сбер_003"
"q2","Сгенерировать массив из 10 случайных целых чисел от 0 до 10 и найти количество пар чисел, сумма которых равна 10","Сбер","2025-07-14","interview_Сбер_003"
"q1","Почему уволился?","Сбер","2025-07-10","interview_Сбер_004"
"q2","Какой видишь свою команду?","Сбер","2025-07-10","interview_Сбер_004"
"q3","Назови 3 своих плюса и 3 минуса","Сбер","2025-07-10","interview_Сбер_004"
"q4","Как решаешь конфликты?","Сбер","2025-07-10","interview_Сбер_004"
"q5","Что будешь делать если с бэкенда не нравятся как данные приходят?","Сбер","2025-07-10","interview_Сбер_004"
"q6","Если у вас спор с бекендером как будешь решать?","Сбер","2025-07-10","interview_Сбер_004"
"q7","Что не нравится в людях?","Сбер","2025-07-10","interview_Сбер_004"
"q8","Что будешь делать если данные еще не готовы, но задачу надо делать?","Сбер","2025-07-10","interview_Сбер_004"
"q9","Как вы выбирал архитектуру и стек?","Сбер","2025-07-10","interview_Сбер_004"
"q10","Чем занимался, где работал до разработки?","Сбер","2025-07-10","interview_Сбер_004"
"q11","Какое хобби?","Сбер","2025-07-10","interview_Сбер_004"
"q1","Настройка CI/CD","Сбер","2025-07-10","interview_Сбер_005"
"q2","Написание тестов","Сбер","2025-07-10","interview_Сбер_005"
"q3","Как решаешь конфликтные ситуации","Сбер","2025-07-10","interview_Сбер_005"
"q1","Как ставились задачки (путь от бизнеса до того, как выкатили в прод)?","Сбер","2025-07-09","interview_Сбер_006"
"q2","На что обращаешь внимание при ревью?","Сбер","2025-07-09","interview_Сбер_006"
"q3","Какие самые сложные задачки делал?","Сбер","2025-07-09","interview_Сбер_006"
"q4","Почему FSD и с какими трудностями столкнулись?","Сбер","2025-07-09","interview_Сбер_006"
"q5","Какие тесты писали и что использовали?","Сбер","2025-07-09","interview_Сбер_006"
"q6","С какими state manager работал? Какой ты считаешь наиболее оптимальнее?","Сбер","2025-07-09","interview_Сбер_006"
"q7","Делал ли ты адаптивный дизайн и что использовал?","Сбер","2025-07-09","interview_Сбер_006"
"q8","С каким препроцессором работал?","Сбер","2025-07-09","interview_Сбер_006"
"q9","Сравни css и css-in-js","Сбер","2025-07-09","interview_Сбер_006"
"q10","LocalStorage, Session storage, cookie, index db","Сбер","2025-07-09","interview_Сбер_006"
"q11","Подробно про cookie и его теги","Сбер","2025-07-09","interview_Сбер_006"
"q12","Как создать куку?","Сбер","2025-07-09","interview_Сбер_006"
"q13","Как удалить куку?","Сбер","2025-07-09","interview_Сбер_006"
