"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт","ROGII","2025-07-12","interview_ROGII_000"
"q2","Вопросы по опыту и резюме","ROGII","2025-07-12","interview_ROGII_000"
"q3","Почему на проект выбрал d3, а не Canvas. Чем различаются","ROGII","2025-07-12","interview_ROGII_000"
"q4","Дебаунс и тротл. Как работают? Чем различаются","ROGII","2025-07-12","interview_ROGII_000"
"q5","С сервера приходит 1000 объектов, как нам получить нужные? Рассуждения про фильтрацию, пагинацию, виртуализацию и работу с сервером","ROGII","2025-07-12","interview_ROGII_000"
"q6","Структуры данных","ROGII","2025-07-12","interview_ROGII_000"
"q7","Чем обычный поиск отличается от бинарного","ROGII","2025-07-12","interview_ROGII_000"
"q8","Какую сложность имеет find (линейную)","ROGII","2025-07-12","interview_ROGII_000"
"q9","Сложности алгоритмов O(n), O(n2)","ROGII","2025-07-12","interview_ROGII_000"
"q10","Какую сложность имеет бинарный поиск","ROGII","2025-07-12","interview_ROGII_000"
"q11","Что нам нужно сделать с массивом, чтобы применить на нем бинарный поиск","ROGII","2025-07-12","interview_ROGII_000"
"q12","Хеш таблица Map","ROGII","2025-07-12","interview_ROGII_000"
"q13","Дженерики. Зачем нужны? Как применять? Альтернатива?","ROGII","2025-07-12","interview_ROGII_000"
"q14","Тайпгарды. Зачем нужны? Как проверять типы?","ROGII","2025-07-12","interview_ROGII_000"
"q15","unknown, instance of, is","ROGII","2025-07-12","interview_ROGII_000"
"q16","Record, extends","ROGII","2025-07-12","interview_ROGII_000"
