"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт","Рамблер","2024-11-27","interview_Рамблер_000"
"q2","Плюсы и минусы использования Redux Toolkit и RTK Query","Рамблер","2024-11-27","interview_Рамблер_000"
"q3","Как происходит работа с API в RTK","Рамблер","2024-11-27","interview_Рамблер_000"
"q4","Как получить response в RTK и обработать его","Рамблер","2024-11-27","interview_Рамблер_000"
"q5","Что такое REST","Рамблер","2024-11-27","interview_Рамблер_000"
"q6","Какие методы есть в REST (get, post и другие)","Рамблер","2024-11-27","interview_Рамблер_000"
"q7","Что такое SSE, Polling и Long Polling","Рамблер","2024-11-27","interview_Рамблер_000"
"q8","Что такое Websocket","Рамблер","2024-11-27","interview_Рамблер_000"
"q9","Можно ли в GET запросе указать body и что будет","Рамблер","2024-11-27","interview_Рамблер_000"
"q10","Можно ли в query-params указать массив","Рамблер","2024-11-27","interview_Рамблер_000"
"q11","Плюсы использования React Hook Form","Рамблер","2024-11-27","interview_Рамблер_000"
"q12","Что такое CDN и зачем он нужен","Рамблер","2024-11-27","interview_Рамблер_000"
"q13","На что обращаешь внимание при код ревью","Рамблер","2024-11-27","interview_Рамблер_000"
"q14","Как оценить сложность алгоритма","Рамблер","2024-11-27","interview_Рамблер_000"
"q15","Как оптимизировать запросы к серверу, если для отрисовки таблицы идет 15 запросов, чтобы страница не блокировалась и пользователь мог дальше с ней взаимодействовать","Рамблер","2024-11-27","interview_Рамблер_000"
"q16","Как отменить запрос на сервер с помощью AbortController","Рамблер","2024-11-27","interview_Рамблер_000"
"q17","Как скопировать код нужный для решения и как внедрять его в проект с учетом безопасности, чтобы защитить страницу от XSS атак, используя iframe и вынося функционал в песочницу с ограничением доступа к DOM","Рамблер","2024-11-27","interview_Рамблер_000"
