"id","question_text","company","date","interview_id"
"q1","2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах","- Знакомство С Менеджерами","2024-10-17","interview_-_Знакомство_С_Менеджерами_000"
"q1","Кратко про опыт","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q2","Что такое батчинг в реакт","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q3","Разница интерфейсов и типов","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q4","Что такое ref и зачем нужен","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q5","Что такое cleanup функция в useEffect","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q6","Разница между any / never / unknown","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q1","Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q2","Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q3","Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения","- Интеграционные Решения","2025-04-29","interview_-_Интеграционные_Решения_000"
"q1","Что такое замыкания","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q2","event-loop","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q3","Объясните принципы чистого кода: SOLID, KISS, DRY, YAGNI","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q4","Что такое React","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q5","Что такое виртуальный дом в React","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q6","С какими хуками React вы работали и для чего они используются","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
