row_id_1,row_id_2,sim_embed,sim_char,id_1,question_text_1,company_1,date_1,id_2,question_text_2,company_2,date_2
10,133,0.9909379482269287,0.9306030289905818,q1,Что такое замыкания,- Ту Софт,2024-09-26,q7,Что такое замыкание,Alderasoft,2025-02-07
10,1134,0.9805908203125,0.9365275229664228,q1,Что такое замыкания,- Ту Софт,2024-09-26,q7,Что такое замыкания?,Evapps,2025-01-28
13,5777,0.9832568168640137,0.9188499669616743,q4,Что такое React,- Ту Софт,2024-09-26,q5,Что такое React?,Райффайзен,2025-04-03
13,622,0.9707162380218506,0.9188499669616743,q4,Что такое React,- Ту Софт,2024-09-26,q1,Что такое react?,Bnd,2024-10-21
31,1135,0.9817306995391846,0.9405263064721321,q1,Что такое event-loop,07 Точка Маркетплейсы,2024-07-26,q8,Что такое event-loop?,Evapps,2025-01-28
33,1321,0.9799027442932129,1.0,q2,this,Бсс,2024-10-18,q20,This,Glowbyte,2024-07-03
36,7720,0.9678986072540283,1.0,q5,EventLoop,Бсс,2024-10-18,q2,Eventloop,Фалт Системс,2025-07-02
44,1004,0.9676767587661743,1.0000000000000004,q13,useRef,Бсс,2024-10-18,q16,UseRef,Digital Sector,2025-05-22
46,1107,0.9942407608032227,0.9320910432923396,q15,HOC (Higher Order Component),Бсс,2024-10-18,q14,HOC (Higher Order Components),Enot io,2024-10-25
46,4039,0.9538780450820923,0.9209295181185732,q15,HOC (Higher Order Component),Бсс,2024-10-18,q12,Что такое HOC (Higher Order Component),ГНИВЦ,2025-03-26
51,5993,0.9780535697937012,1.0000000000000002,q20,HTTP vs HTTPS,Бсс,2024-10-18,q9,Http vs Https,Ротек,2024-11-11
63,559,0.9539631605148315,1.0,q6,Solid,65Apps,2025-01-17,q3,SOLID,BI.Zone,2025-02-08
68,3200,0.9873478412628174,1.0,q2,Virtual dom,Action Tech,2025-04-16,q6,Virtual Dom,Umbrella It,2025-01-31
68,749,0.9854276180267334,1.0,q2,Virtual dom,Action Tech,2025-04-16,q11,Virtual DOM,Click2Money,2024-06-03
68,541,0.9650583267211914,0.9022887178228977,q2,Virtual dom,Action Tech,2025-04-16,q16,Virtual DOM.,BetBoom,2024-09-24
70,4235,0.994052529335022,1.0,q4,Мемоизация в react,Action Tech,2025-04-16,q15,Мемоизация в React,Вендорteamf,2025-02-07
71,96,0.9893587231636047,1.0000000000000004,q5,Event loop,Action Tech,2025-04-16,q5,Event Loop,Aggregate Digital,2024-11-07
71,809,0.9796891808509827,1.0000000000000004,q5,Event loop,Action Tech,2025-04-16,q13,event loop,Cosysoft,2024-06-07
84,133,0.981031060218811,0.9382616194442572,q6,Что такое замыкание?,AEX Soft,2025-04-30,q7,Что такое замыкание,Alderasoft,2025-02-07
85,1387,0.9900908470153809,1.0000000000000007,q7,Что такое reconciliation в React?,AEX Soft,2025-04-30,q5,Что такое Reconciliation в React?,Highhelp,2025-07-15
