"id","question_text","company","date","interview_id"
"q1","Что такое замыкания","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q2","event-loop","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q3","Объясните принципы чистого кода: SOLID, KISS, DRY, YAGNI","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q4","Что такое React","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q5","Что такое виртуальный дом в React","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q6","С какими хуками React вы работали и для чего они используются","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q7","Обсуждение сложности алгоритмов и понятия Big O","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q8","Найдите медиану двух отсортированных массивов без использования сортировки, используя их упорядоченность для оптимального прохода","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q9","Опишите порядок выполнения операций в вашем решении задачи с медианой","- Ту Софт","2024-09-26","interview_-_Ту_Софт_000"
"q1","Нужно найти медиану двух отсортированных массивов за O(n)","- Ту Софт","2024-09-22","interview_-_Ту_Софт_001"
