"id","question_text","company","date","interview_id"
"q1","базовые типы в JS","Unisender","2024-06-30","interview_Unisender_000"
"q2","что такое ES5 ES6 итд","Unisender","2024-06-30","interview_Unisender_000"
"q3","писали ли на классах","Unisender","2024-06-30","interview_Unisender_000"
"q4","что такое прототип в JS","Unisender","2024-06-30","interview_Unisender_000"
"q5","для чего нужны async await","Unisender","2024-06-30","interview_Unisender_000"
"q6","рассказать как работает механизм всплытия в JS","Unisender","2024-06-30","interview_Unisender_000"
"q7","какие есть стадии во всплытии","Unisender","2024-06-30","interview_Unisender_000"
"q8","во что компилируется interface в TypeScript","Unisender","2024-06-30","interview_Unisender_000"
"q9","для чего нужен infer в TypeScript","Unisender","2024-06-30","interview_Unisender_000"
"q10","назови плагины Webpack для работы со стилями","Unisender","2024-06-30","interview_Unisender_000"
"q11","цикл for of в JS какие критерии к объекту","Unisender","2024-06-30","interview_Unisender_000"
"q12","какой интерфейс должен реализовывать for of в Typescript","Unisender","2024-06-30","interview_Unisender_000"
"q13","что такое VDOM и как ты считаешь почему он обновляется быстрее чем DOM","Unisender","2024-06-30","interview_Unisender_000"
"q14","useMemo для чего нужен, что такое мемоизация","Unisender","2024-06-30","interview_Unisender_000"
"q15","с какими стейтменеджерами работал","Unisender","2024-06-30","interview_Unisender_000"
"q16","расскажи о Redux-Toolkit, для чего нужны слайсы","Unisender","2024-06-30","interview_Unisender_000"
"q17","что такое BEM, для чего используется","Unisender","2024-06-30","interview_Unisender_000"
"q1","Написать асинхронную функцию fetchDataWithDelay, которая выполняет запрос на бэкенд по URL, возвращает данные после задержки в одну секунду","Unisender","2024-06-30","interview_Unisender_000"
