"id","question_text","company","date","interview_id"
"q1","SSE vs websocket","Домклик","2025-07-04","interview_Домклик_000"
"q2","lazy, bundle analyzer, svg, woff2, оптимизация","Домклик","2025-07-04","interview_Домклик_000"
"q3","vite vs webpack","Домклик","2025-07-04","interview_Домклик_000"
"q4","Работает ли vite в старых браузерах","Домклик","2025-07-04","interview_Домклик_000"
"q5","babel vs tsloader, зачем использовал ts-fork-checker","Домклик","2025-07-04","interview_Домклик_000"
"q6","eslint vs prettier","Домклик","2025-07-04","interview_Домклик_000"
"q7","Как проверяли pixel perfect","Домклик","2025-07-04","interview_Домклик_000"
"q8","Ощущение от tailwind","Домклик","2025-07-04","interview_Домклик_000"
"q9","С какими препроцессами работал?","Домклик","2025-07-04","interview_Домклик_000"
"q10","Расскажи про css modules, их особенности и в чём их преимущество","Домклик","2025-07-04","interview_Домклик_000"
"q11","Какие плюсы у tailwind","Домклик","2025-07-04","interview_Домклик_000"
"q12","Как выглядит tailwind после сборки, его оптимизации","Домклик","2025-07-04","interview_Домклик_000"
"q13","Какие тесты писал?","Домклик","2025-07-04","interview_Домклик_000"
"q14","Если нужно написать быстро большой тест за полчаса, как поступишь?","Домклик","2025-07-04","interview_Домклик_000"
"q15","E2E тесты","Домклик","2025-07-04","interview_Домклик_000"
"q16","Какую версию node.js использовали на проекте","Домклик","2025-07-04","interview_Домклик_000"
"q17","Отличие npm i от npm ci","Домклик","2025-07-04","interview_Домклик_000"
"q18","Как найти уязвимости в пакетах и устаревшие пакеты (npm audit, npm outdated)","Домклик","2025-07-04","interview_Домклик_000"
"q19","Для чего нужна дедупликация зависимостей","Домклик","2025-07-04","interview_Домклик_000"
"q20","Как сделать дедупликацию зависимостей","Домклик","2025-07-04","interview_Домклик_000"
"q21","Что такое nginx, как работает, какие есть настройки","Домклик","2025-07-04","interview_Домклик_000"
"q22","Можно ли делать вложенные if и по условиям отдавать статику в nginx","Домклик","2025-07-04","interview_Домклик_000"
"q23","Для чего нужен location в nginx","Домклик","2025-07-04","interview_Домклик_000"
"q24","Для чего нужна мультистейдж сборка","Домклик","2025-07-04","interview_Домклик_000"
"q25","Как проверить размер образа сборки","Домклик","2025-07-04","interview_Домклик_000"
"q1","Как работает метод map, мутирует ли исходный массив","Домклик","2024-07-27","interview_Домклик_001"
"q2","Как работает метод filter, мутирует ли исходный массив","Домклик","2024-07-27","interview_Домклик_001"
"q3","Фазы события подробно про всплытие и погружение","Домклик","2024-07-27","interview_Домклик_001"
"q4","Отличие currentTarget от target","Домклик","2024-07-27","interview_Домклик_001"
"q5","Async await для чего, что возвращает async функция","Домклик","2024-07-27","interview_Домклик_001"
"q6","Что за флаги i, g в регулярных выражениях","Домклик","2024-07-27","interview_Домклик_001"
"q7","Что такое \\\\d в регулярных выражениях","Домклик","2024-07-27","interview_Домклик_001"
"q8","Методы test и match: в чем отличия","Домклик","2024-07-27","interview_Домклик_001"
"q9","Метод replace подробно","Домклик","2024-07-27","interview_Домклик_001"
"q10","Что такое блочная модель в CSS","Домклик","2024-07-27","interview_Домклик_001"
"q11","Особенности box-sizing: border-box","Домклик","2024-07-27","interview_Домклик_001"
"q12","Вес селекторов в CSS","Домклик","2024-07-27","interview_Домклик_001"
"q13","Свойство position и его значения","Домклик","2024-07-27","interview_Домклик_001"
"q14","Псевдоэлементы в CSS","Домклик","2024-07-27","interview_Домклик_001"
"q15","Псевдоклассы подробно","Домклик","2024-07-27","interview_Домклик_001"
"q16","Через какие свойства работаем с маркерами списков","Домклик","2024-07-27","interview_Домклик_001"
"q17","Как поменять цвет маркера списка","Домклик","2024-07-27","interview_Домклик_001"
"q18","Свойство transition и из чего состоит его значение","Домклик","2024-07-27","interview_Домклик_001"
"q19","Как делать анимации через keyframes и как их применять к элементам","Домклик","2024-07-27","interview_Домклик_001"
"q20","Чем плох transition: all","Домклик","2024-07-27","interview_Домклик_001"
"q21","Свойство will-change подробно, что будет если добавить его для всех элементов","Домклик","2024-07-27","interview_Домклик_001"
"q22","Grid-template-columns в CSS","Домклик","2024-07-27","interview_Домклик_001"
"q23","Использование repeat в CSS Grid","Домклик","2024-07-27","interview_Домклик_001"
"q24","Как задать промежутки между колонками или строками в CSS Grid","Домклик","2024-07-27","interview_Домклик_001"
"q25","Grid-template-areas в CSS","Домклик","2024-07-27","interview_Домклик_001"
"q26","Как отловить прогрузку HTML, отличие DOMContentLoaded от load","Домклик","2024-07-27","interview_Домклик_001"
"q27","Как понять, что страница все еще грузится (document.readyState)","Домклик","2024-07-27","interview_Домклик_001"
"q28","LocalStorage vs Cookie","Домклик","2024-07-27","interview_Домклик_001"
"q29","Что такое preload атрибуты и для чего они нужны","Домклик","2024-07-27","interview_Домклик_001"
"q30","Что такое prefetch и preconnect","Домклик","2024-07-27","interview_Домклик_001"
"q31","Дефолтные скрипты vs async vs defer vs module","Домклик","2024-07-27","interview_Домклик_001"
"q32","Фрагменты в React, можно ли им проставить атрибут key","Домклик","2024-07-27","interview_Домклик_001"
"q33","Что будет, если задать списку один и тот же key в React","Домклик","2024-07-27","interview_Домклик_001"
"q34","Что такое useRef, useMemo, memo в React","Домклик","2024-07-27","interview_Домклик_001"
"q35","React lazy для чего используется","Домклик","2024-07-27","interview_Домклик_001"
"q36","Что такое Redux, single source of truth в его контексте","Домклик","2024-07-27","interview_Домклик_001"
"q1","Реализуйте функцию, которая принимает число и возвращает новое число, составленное из цифр исходного числа в порядке убывания для получения максимально возможного значения","Домклик","2024-07-27","interview_Домклик_001"
"q2","Преобразуйте массив чисел в строку с диапазонами: последовательности из трех и более подряд идущих чисел объединяются в диапазон через дефис, остальные числа выводятся отдельно","Домклик","2024-07-27","interview_Домклик_001"
"q1","Расскажи про map","Домклик","2024-03-20","interview_Домклик_002"
"q2","Расскажи про reduce","Домклик","2024-03-20","interview_Домклик_002"
"q3","В чем разница между == и ===","Домклик","2024-03-20","interview_Домклик_002"
"q4","В чем различие между let и const","Домклик","2024-03-20","interview_Домклик_002"
"q5","Если я объявлю массив через const, смогу ли я что-то изменить в нем?","Домклик","2024-03-20","interview_Домклик_002"
"q6","Рассказать про стрелочные функции","Домклик","2024-03-20","interview_Домклик_002"
"q7","Как можно имитировать поведение arguments в стрелочных функциях?","Домклик","2024-03-20","interview_Домклик_002"
"q8","Что будет, если попробовать использовать стрелочную функцию как конструктор?","Домклик","2024-03-20","interview_Домклик_002"
"q9","Что такое куки и что с их помощью можно делать? Приведи пример использования, если работал с ними. Какие есть опции в куках, кроме httpOnly?","Домклик","2024-03-20","interview_Домклик_002"
"q10","Расскажи что знаешь про localStorage","Домклик","2024-03-20","interview_Домклик_002"
"q11","Расскажи как работает всплытие события в браузере","Домклик","2024-03-20","interview_Домклик_002"
"q12","Всегда ли при погружении срабатывают обработчики?","Домклик","2024-03-20","interview_Домклик_002"
"q13","Представь, что есть страница и она занимает 5 вьюпортов. В центре страницы есть нужный нам элемент. В какой-то момент нам нужно понять, что мы доскролили до этого элемента. Как это можно сделать?","Домклик","2024-03-20","interview_Домклик_002"
"q14","Что такое intersection observer?","Домклик","2024-03-20","interview_Домклик_002"
"q15","Расскажи что знаешь о сервис воркерах","Домклик","2024-03-20","interview_Домклик_002"
"q16","Расскажи как ты понимаешь что такое interface в TypeScript","Домклик","2024-03-20","interview_Домклик_002"
"q17","Что будет, если объявить два интерфейса с одним и тем же именем в TypeScript?","Домклик","2024-03-20","interview_Домклик_002"
"q18","Какие базовые типы в TypeScript ты знаешь?","Домклик","2024-03-20","interview_Домклик_002"
"q19","В чем разница между unknown и any в TypeScript?","Домклик","2024-03-20","interview_Домклик_002"
"q20","Что такое тип never в TypeScript?","Домклик","2024-03-20","interview_Домклик_002"
"q21","В чем разница между enum и const enum в TypeScript?","Домклик","2024-03-20","interview_Домклик_002"
"q22","Что такое CEO?","Домклик","2024-03-20","interview_Домклик_002"
"q23","Какие приемы по оптимизации CEO ты знаешь?","Домклик","2024-03-20","interview_Домклик_002"
"q24","В чем разница между display: block, inline-block и inline?","Домклик","2024-03-20","interview_Домклик_002"
"q25","Назови парочку семантичных строчных и блочных тэгов, кроме div и span","Домклик","2024-03-20","interview_Домклик_002"
"q26","В чем разница между position absolute и fixed?","Домклик","2024-03-20","interview_Домклик_002"
"q27","Расскажи про position sticky","Домклик","2024-03-20","interview_Домклик_002"
"q28","Расскажи что знаешь про flexbox","Домклик","2024-03-20","interview_Домклик_002"
"q29","Что такое препроцессоры и для чего они нужны","Домклик","2024-03-20","interview_Домклик_002"
"q30","Расскажи что ты знаешь про анимации в CSS","Домклик","2024-03-20","interview_Домклик_002"
"q31","Расскажи про порядок загрузки и выполнения скриптов: как грузится просто script, как с атрибутом async и defer","Домклик","2024-03-20","interview_Домклик_002"
"q32","Есть несколько идущих подряд скриптов с атрибутом async. Порядок их загрузки и выполнения будет соблюден? А с defer?","Домклик","2024-03-20","interview_Домклик_002"
"q33","Что такое регулярные выражения? Примеры использования?","Домклик","2024-03-20","interview_Домклик_002"
"q34","Что такое KISS и DRY?","Домклик","2024-03-20","interview_Домклик_002"
"q35","С редаксом используются библиотеки для работы с сайд эффектами. Какую ответственность они на себя берут?","Домклик","2024-03-20","interview_Домклик_002"
"q36","Расскажи про useState. В функцию меняющую состояние можно передать callback. Для чего это нужно?","Домклик","2024-03-20","interview_Домклик_002"
"q37","Для чего нужен и как работает useEffect?","Домклик","2024-03-20","interview_Домклик_002"
"q38","Расскажи про useMemo и useCallback","Домклик","2024-03-20","interview_Домклик_002"
"q39","Когда стоит использовать useCallback, а когда нет?","Домклик","2024-03-20","interview_Домклик_002"
"q40","Зачем нужен ключ в React и как он должен формироваться?","Домклик","2024-03-20","interview_Домклик_002"
"q41","Как можно минимизировать количество merge конфликтов в git?","Домклик","2024-03-20","interview_Домклик_002"
"q42","Расскажи про git хуки","Домклик","2024-03-20","interview_Домклик_002"
"q43","Расскажи что знаешь про методологии git flow и github flow","Домклик","2024-03-20","interview_Домклик_002"
"q44","Перечисли HTTP коды и что они обозначают. Можно по группам","Домклик","2024-03-20","interview_Домклик_002"
"q45","В чем разница между HTTP и HTTPS?","Домклик","2024-03-20","interview_Домклик_002"
"q46","В чем отличия HTTP 1.1 и 2?","Домклик","2024-03-20","interview_Домклик_002"
"q47","Что такое CORS? Приведи пример. Что можно запрещать с помощью CORS?","Домклик","2024-03-20","interview_Домклик_002"
"q48","Зачем нужно код-ревью и нужно ли оно вообще?","Домклик","2024-03-20","interview_Домклик_002"
"q49","Что такое CI pipeline?","Домклик","2024-03-20","interview_Домклик_002"
"q50","В чем разница между выполнением кода на сервере и на клиенте?","Домклик","2024-03-20","interview_Домклик_002"
"q51","Как будет выглядеть проверка на window на клиенте?","Домклик","2024-03-20","interview_Домклик_002"
"q52","Замечал ли ты как выглядит утечка памяти на графиках?","Домклик","2024-03-20","interview_Домклик_002"
"q53","Расскажи про XSS","Домклик","2024-03-20","interview_Домклик_002"
"q54","В чем разница между npm i и npm ci?","Домклик","2024-03-20","interview_Домклик_002"
"q55","Зачем нужна команда npm i?","Домклик","2024-03-20","interview_Домклик_002"
"q56","Зачем нужна команда npm ddp?","Домклик","2024-03-20","interview_Домклик_002"
"q57","В чем разница между dependencies и devDependencies?","Домклик","2024-03-20","interview_Домклик_002"
"q58","Для чего нужно поле main в package.json?","Домклик","2024-03-20","interview_Домклик_002"
"q59","Для чего нужно поле sideEffects в package.json?","Домклик","2024-03-20","interview_Домклик_002"
"q60","Зачем нужно минифицировать статические файлы?","Домклик","2024-03-20","interview_Домклик_002"
