"id","question_text","company","date","interview_id"
"q1","Даны два отсортированных по возрастанию массива целых чисел arr1 и arr2. Напишите функцию, которая возвращает массив элементов, присутствующих только в одном из массивов (симметрическую разность). Входные массивы уже отсортированы по возрастанию. Результат должен быть отсортирован по возрастанию. Дубликаты в пределах одного массива должны быть сохранены. Не используйте дополнительные структуры данных (Set, Map и т.д.)","Т-Банк","2025-07-10","interview_Т-Банк_000"
"q2","Дан массив интервалов stream, где каждый интервал представляет время подключения и отключения одного зрителя в формате [start, end]. Необходимо определить максимальное количество зрителей, которые одновременно находились в стриме. Входные данные: массив пар чисел [[start1, end1], [start2, end2], ...]. Все времена - целые неотрицательные числа. Интервалы считаются включительно (зритель активен в момент start и end). Если один зритель отключается в момент t, а другой подключается в тот же момент t, сначала учитываем отключение","Т-Банк","2025-07-10","interview_Т-Банк_000"
"q1","Написать функцию deepCopy, которая рекурсивно копирует объекты и массивы, возвращая примитивы как есть","Т-Банк","2025-07-08","interview_Т-Банк_001"
"q2","Написать функцию memo, которая реализует мемоизацию для переданной функции с использованием Map и JSON.stringify для ключей","Т-Банк","2025-07-08","interview_Т-Банк_001"
"q3","Задачка на перерендер компонентов","Т-Банк","2025-07-08","interview_Т-Банк_001"
"q4","Задачки на Рика и Морти","Т-Банк","2025-07-08","interview_Т-Банк_001"
"q1","Почему нельзя передавать в ключи объекта что-то кроме string или number?","Т-Банк","2025-07-06","interview_Т-Банк_002"
"q2","Что произойдет, если передать в emit.on({}, () => {})? Объясните, почему event запишется по ключу objectObject.","Т-Банк","2025-07-06","interview_Т-Банк_002"
"q3","Что произойдет, если передать в emit.on('toString', () => {})? Объясните, почему перезапишется toString и при попытке его использования дефолтного поведения не будет.","Т-Банк","2025-07-06","interview_Т-Банк_002"
"q4","Почему для избежания конфликтов с ключами объекта лучше использовать Map в this.events?","Т-Банк","2025-07-06","interview_Т-Банк_002"
"q5","Напишите реализацию event emitter с использованием Map для хранения событий.","Т-Банк","2025-07-06","interview_Т-Банк_002"
"q6","Напишите функцию promisify, которая преобразует функцию с колбэком в функцию, возвращающую Promise.","Т-Банк","2025-07-06","interview_Т-Банк_002"
"q7","Задача на Rick и Morty (описание задачи отсутствует, требуется уточнение).","Т-Банк","2025-07-06","interview_Т-Банк_002"
"q1","Написать класс EventEmitter с методами on(eventName, callback) для подписки, off(eventName, callback) для отписки и emit(eventName, data) для оповещения подписчиков","Т-Банк","2025-06-26","interview_Т-Банк_003"
"q2","Реализовать функцию promiseAll(promises), которая принимает массив промисов и возвращает промис, резолвящийся массивом результатов всех промисов или реджектящийся при ошибке любого из них","Т-Банк","2025-06-26","interview_Т-Банк_003"
