"id","question_text","company","date","interview_id"
"q1","Расскажи про свой опыт","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q2","Какая команда?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q3","Какая у вас была архитектура?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q4","Как API с бэками обсуждали?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q5","Приходит задача, что в ней описано?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q6","Как разделяли задачи, кто оценивал их?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q7","RTK Query плюсы","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q8","Какие другие фреймворки изучал?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q9","Плюсы Yup?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q10","MobX State Tree vs Redux Toolkit","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q11","Infer в TypeScript","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q12","Какие есть способы изоляции стилей (Styled Component, CSS Modules), в чем их преимущество?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q13","Vite vs Webpack. Какой опыт работы с Webpack?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q14","Для чего нужен useState?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q15","Когда происходит перерендер?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q16","Как оптимизировать перерендер?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q17","useEffect vs useLayoutEffect?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q18","Как происходит авторизация у вас?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q19","Флаги в куках","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q20","Что такое CORS?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q21","Почему в цикле с let i=0; i<10; i++ с setTimeout выводятся числа от 0 до 9?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q22","Почему в цикле с var i=0; i<10; i++ с setTimeout выводится число 10 десять раз?","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q23","Оптимизировать объединение двух массивов объектов по ключу block_id с улучшением сложности до O(n) вместо O(n^2)","Glowbyte","2024-10-21","interview_Glowbyte_000"
"q1","расскажи про опыт","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q2","как разработка велась","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q3","как проверка размеров прикрепленных файлов была устроена","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q4","как проектировали апи","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q5","что ждешь от работы","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q6","как ты работал с авторизацией","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q7","работал ли с ролями","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q8","как бы отображал большое количество инфы","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q9","как передать параметры фильтрации на бэк","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q10","если параметры динамичные, как передать массивы","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q11","Есть два берега, между ними мост, есть 4 человека с разным темпом ходьбы (1, 2, 5, 10 минут), на мосту не больше 2 человек, есть один фонарик, нужно назвать последовательность переходов, при которой все перейдут за наименьшее время","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q12","Написать метод, который проверит, является ли строка S корректной с точки зрения математической записи скобок, учитывая (), [], {} и их правильное вложение","Glowbyte","2024-07-10","interview_Glowbyte_001"
"q1","Какие сборщики знаешь, что они делают, зачем нужны","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q2","Почему vite быстрее работает чем webpack","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q3","Что такое rest","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q4","Методы http","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q5","Что такое cors, как настраивается, кто контролирует ограничений","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q6","Методы написания стилей","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q7","Модульные стили что это","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q8","Как браузер понимает scss/sass файлы, кто компилирует их","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q9","Локализацию кабинета как настраивал","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q10","Типы данных в js","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q11","Как работает копирование по ссылке","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q12","== и === разница","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q13","Области видимости переменных","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q14","Замыкание","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q15","IIFE","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q16","Стрелочная функция","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q17","Наследование в js как реализовано","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q18","Proto и prototype разница","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q19","Как проверить есть ли свойство у объекта, игнорируя цепочку прототипов","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q20","This","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q21","Какие циклы знаешь, for in и for of для чего","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q22","Методы массивов","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q23","Как работает map, reduce","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q24","Event loop, что это, как работает","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q25","Промисы, что это, как с ними работает, какие статические методы есть, all и allSettled разница","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q26","Async await что это, как обработка ошибок происходит","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q27","Spread и rest операторы, разница","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q28","Set и Map","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q29","Symbol для чего нужно","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q30","DOM","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q31","Евенты и евентбаблинг что это, как предотвратить","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q32","Интерфейсы и типы в TypeScript, что это, разница","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q33","Дженерики в TypeScript","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q34","Keyof и typeof в TypeScript","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q35","Утилитарные типы в TypeScript, что делает каждый","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q36","Virtual DOM","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q37","useEffect и useLayoutEffect, разница","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q38","useEffect как работает, возвращение коллбека","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q39","Причины перерендера компонента","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q40","Context зачем нужен","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q41","useRef что это, форвардреф зачем нужен","Glowbyte","2024-07-03","interview_Glowbyte_002"
"q42","Storybook зачем нужен","Glowbyte","2024-07-03","interview_Glowbyte_002"
