"id","question_text","company","date","interview_id"
"q1","Где работаешь, почему решил уйти?","Нильсен","2025-07-01","interview_Нильсен_000"
"q2","Был ли опыт разработки без дизайн-макета? Как ты к этому относишься сейчас?","Нильсен","2025-07-01","interview_Нильсен_000"
"q3","Проявлял ли инициативу при распределении задач на спринт?","Нильсен","2025-07-01","interview_Нильсен_000"
"q4","Предлагал ли свою задачу, свои решения внедрять в проект?","Нильсен","2025-07-01","interview_Нильсен_000"
"q5","Как ты будешь действовать, если не можешь решить задачу?","Нильсен","2025-07-01","interview_Нильсен_000"
"q6","Как ты относился к критике во время код-ревью?","Нильсен","2025-07-01","interview_Нильсен_000"
"q7","Работал ли с легаси кодом?","Нильсен","2025-07-01","interview_Нильсен_000"
"q8","Как бы ты переписывал легаси код на реакт?","Нильсен","2025-07-01","interview_Нильсен_000"
"q9","Что для тебя хороший код?","Нильсен","2025-07-01","interview_Нильсен_000"
"q10","Писали тесты?","Нильсен","2025-07-01","interview_Нильсен_000"
"q11","Как ты видишь своё будущее развитие как разработчика? Хочешь двигаться вертикально по должности, или уйти в другую сферу?","Нильсен","2025-07-01","interview_Нильсен_000"
"q12","Как обучаешься в свободное время, какие ресурсы используешь?","Нильсен","2025-07-01","interview_Нильсен_000"
"q13","Что бы ты не хотел видеть на новом месте работы, что тебя демотивирует?","Нильсен","2025-07-01","interview_Нильсен_000"
"q14","Ты берешь задачу в работу, с какого момента ты перестаёшь за неё отвечать, то есть ответственность за неё уже не на тебе?","Нильсен","2025-07-01","interview_Нильсен_000"
