"id","question_text","company","date","interview_id"
"q1","Из чего состоит HTML","Актион","2025-02-05","interview_Актион_000"
"q2","Что такое async и defer в HTML","Актион","2025-02-05","interview_Актион_000"
"q3","Что такое семантическая верстка","Актион","2025-02-05","interview_Актион_000"
"q4","Объясните принцип работы z-index","Актион","2025-02-05","interview_Актион_000"
"q5","Что такое media запросы в CSS","Актион","2025-02-05","interview_Актион_000"
"q6","Перечислите и объясните основные методы массива в JavaScript","Актион","2025-02-05","interview_Актион_000"
"q7","Что такое Promise в JavaScript","Актион","2025-02-05","interview_Актион_000"
"q8","Объясните event loop в JavaScript","Актион","2025-02-05","interview_Актион_000"
"q9","Что такое useEffect в React","Актион","2025-02-05","interview_Актион_000"
"q10","Опишите жизненный цикл компонента в React","Актион","2025-02-05","interview_Актион_000"
"q11","Декомпозируй блок с датой","Актион","2025-02-05","interview_Актион_000"
"q12","Отрефактори данный код","Актион","2025-02-05","interview_Актион_000"
