"id","question_text","company","date","interview_id"
"q1","Что используешь для тестирования","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q2","Семантическая верстка","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q3","z-index","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q4","display","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q5","css in js","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q6","У какого тега в html display inline-block","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q7","promise","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q8","async/await","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q9","Event Loop","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q10","Где используется RequestAnimationFrame","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q11","Статический метод vs метод экземпляра","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q12","За счет чего работает наследование","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q13","useEffect","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q14","Какие хуки знаешь","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q15","Мемоизация в React","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q16","Как можно менять состояния в React","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q17","Всплытие события","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
"q1","Создать метод Array.prototype.map, который принимает callback и thisArg, проверяет корректность вызова и возвращает новый массив с результатами вызова callback для каждого элемента исходного массива","Вендорteamf","2025-02-07","interview_Вендорteamf_000"
