"id","question_text","company","date","interview_id"
"q1","Кратко про опыт работы","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q2","Axios или Fetch? Что сейчас лучше использовать?","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q3","Объясните разницу между any и unknown в TypeScript","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q4","Что такое as const в TypeScript?","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q5","Что такое infer в TypeScript?","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q6","Что такое замыкание?","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q7","Что такое reconciliation в React?","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q8","Что такое EventLoop?","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q9","Объясните принцип работы React.memo","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q1","Реализовать функцию groupAnagrams, которая группирует слова из массива по анаграммам","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q2","Написать функцию для поиска числа, которое встречается ровно 2 раза в массиве","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q3","Реализовать функцию isUnique, которая проверяет, что все строки в массиве уникальны","AEX Soft","2025-04-30","interview_AEX_Soft_000"
"q4","Сделать React-компонент с 30 инпутами и вынести инпут в отдельный компонент InputField с управляемым состоянием","AEX Soft","2025-04-30","interview_AEX_Soft_000"
