"id","question_text","company","date","interview_id"
"q1","Объясните разницу между var, let и const","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q2","Что такое замыкание и как оно работает в JavaScript","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q3","Объясните принцип работы event-loop в JavaScript","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q4","Объясните разницу между Promise и async-await","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q5","Объясните разницу между классами и функциональными компонентами в React","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q6","Что такое React хуки и как они используются","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q7","Объясните работу хука useEffect в React","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q8","Использовали ли вы тестирование на проектах и какие инструменты применяли","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q9","Объясните основы работы с Docker","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q10","Что такое React Profiler и как его использовать","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q11","Напишите счетчик на React","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q12","Реализуйте фильтрацию массива с условием 'платина'","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
"q13","Напишите кастомный React хук для работы с localStorage","Ао Ниимэ","2024-10-25","interview_Ао_Ниимэ_000"
