"id","question_text","company","date","interview_id"
"q1","Какие самые сложные задачи запомнились на собеседовании и как проходило код-ревью?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q2","Какие библиотеки CSS-in-JS использовали и почему выбрали Radix UI вместо Material UI на проекте?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q3","Как происходило взаимодействие с дизайнером на проекте?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q4","Объясните типы данных и прототипы в JavaScript","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q5","Чем interface отличается от type в TypeScript?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q6","Что такое виртуальный DOM и Fiber?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q7","event_loop","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q8","Что такое key в React и зачем он нужен?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q9","Как работает useState в React?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q10","Почему вызов сеттера состояния в React является синхронным? Объясните батчинг.","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q11","Что такое CORS и как он работает?","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q12","Рассмотрите следующий код с setInterval, setTimeout, Promise и console.log. Определите порядок вывода в консоль: setInterval(() => console.log('setInterval 1'), 1); setTimeout(() => console.log('setTimeout 1'), 1); console.log('plain log 1'); Promise.resolve().then(() => console.log('Promise 1')); const promiseTest = new Promise(() => { console.log('Promise 2'); }); setTimeout(() => console.log('setTimeout 2'), 0); console.log('plain log 2'); promiseTest.then(() => console.log('Promise 3'));","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q13","Реализуйте функцию orderMapper, которая принимает два массива: массив пользователей User {id: number, name: string, ...} и массив заказов Order {userId: number, ...}, и возвращает массив заказов, расширенных полем user, соответствующим пользователю с userId из заказа. Оптимизируйте функцию с использованием Map для повышения производительности.","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q14","Что произойдет при выполнении следующего React-компонента: const Component = () => { const [, setIsRender] = useState(false); return <>{setIsRender(true)}</>; };","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
"q15","Будет ли лишний ререндер компонента Button при увеличении счетчика в следующем коде и как можно исправить лишний ререндер? import { useState } from 'react'; const Button = ({ onIncrement }) => { console.log('Render'); return <button onClick={onIncrement}>Increment</button>; } function App() { const [count, setCount] = useState(0); const handleIncrement = () => { setCount(prev => prev + 1); }; return (<div className='App'><h1>Count: {count}</h1><Button onIncrement={handleIncrement} /></div>); }","Компания Sapiens Solution","2025-01-27","interview_Компания_Sapiens_Solution_000"
