"id","question_text","company","date","interview_id"
"q1","Про опыт","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q2","Про задачи","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q3","Был ли опыт с микрофронтами","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q4","Как микрофронты между собой общались (шина событий, контекст в хосте)","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q5","Готов ли развиваться и исследовать?","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q6","Объясните хойстинг var, let, const и function declaration","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q7","Что такое замыкания","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q8","Объясните различия и применение Set и Map","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q9","Опишите жизненный цикл компонентов в React","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q10","Что такое render props в React","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q11","Расскажите про оптимизацию списков в React и оптимизации в целом","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q1","Реализуйте функцию, которая принимает строку и возвращает длину наибольшей подстроки с уникальными символами","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q2","Определите порядок вывода в консоль для асинхронного кода с setTimeout, Promise и console.log","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q3","Напишите React-хук useFetch, который инкапсулирует логику отправки запросов, хранит состояние загрузки, данных и ошибок, и обновляется при изменении параметра запроса","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q4","С помощью CSS Grid реализуйте блок родитель и несколько вложенных блоков, которые растягиваются на всю доступную ширину, сжимаются до 100px и переносятся на новую строку при нехватке места","Дом.Рф","2025-07-17","interview_Дом.Рф_000"
"q1","Про этапы рендеринга браузера и в каких очередях исполняется requestAnimationFrame и requestIdleCallback","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q2","Рассказать про прототипы и как их получить","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q3","Что будет если вызвать метод которого не существует (ошибка is not a function)","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q4","Каким способом можно на обновление значения внутри объекта выводить его в консоль (геттеры и сеттеры, прокси)","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q5","Рассказать про промис","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q6","Написать функцию delay, которая возвращает промис, резолвящийся через заданное количество миллисекунд","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q7","Реализовать функцию twoSum, которая принимает массив чисел и целевое значение, и возвращает индексы двух чисел, сумма которых равна целевому значению, либо null если такой пары нет","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q8","Типизировать функцию map с использованием дженериков, которая принимает массив типа T и колбэк, возвращающий тип U, и возвращает массив типа U","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q9","Реализовать функцию promiseAll, которая принимает массив промисов и возвращает промис, резолвящийся массивом результатов всех промисов или реджектящийся при ошибке любого из них","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q10","Реализовать React-компонент MainPage, который содержит input с состоянием и span, отображающий значение input, а также использует компонент UsersList","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q11","Реализовать хук useInput, который управляет состоянием input и возвращает объект с value и onChange для использования в input","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q12","Какие проблемы вы видите в коде компонента MainPage и как можно улучшить логику управления input","Дом.Рф","2024-11-17","interview_Дом.Рф_001"
"q1","Сколько с реактом работаете","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
"q2","Был ли опыт с ангуляром","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
"q3","Как себя оценишь по грейду","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
"q4","Почему решили смотреть новое место работы","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
"q5","Почему ушли с предпоследнего места работы (5 месяцев там отработал)","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
"q6","Сколько денег хочешь","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
"q7","Где проживаете","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
"q8","На руках ли военник","Дом.Рф","2024-09-06","interview_Дом.Рф_002"
