"id","question_text","company","date","interview_id"
"q1","Какие плюсы React-а","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q2","Как можно нативно реализовать динамическую подгрузку данных в таблицах","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q3","Что такое intersectionObserver","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q4","Что такое debaunce","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q5","Что такое хэш мап","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q6","Чем fetch отличается от pull","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q7","Что такое websocket и чем он отличается от http","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q8","Что такое localStorage и что там можно хранить","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q9","Зачем нужен Redux","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q10","Что такое Docker, зачем нужен и работал ли с ним","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q11","Работал ли с Postgress и какие команды знаешь","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q12","Работал с командной строкой bash","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q13","Как проводил рефакторинг","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q14","Как оптимизировал работу с большими списками и таблицами и за какими метриками следил","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q15","Как реализовывал drag and drop","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q16","Как реализовывали модуль для работы с Yandex Maps","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
"q17","Объяснить шаг за шагом работу кастомного хука, который занимается фильтрованием данных для таблицы с использованием множества вложенных условий, методов массива, циклов и рекурсии","Главгоэкспертиза","2025-04-07","interview_Главгоэкспертиза_000"
